zip3,count
357,178
156,177
960,177
989,177
806,177
365,176
975,176
136,176
492,175
435,174
559,174
372,174
324,173
226,173
373,172
233,172
797,172
911,171
317,169
486,169
277,166
132,163
610,162
706,162
448,160
148,160
271,159
436,159
308,159
657,158
368,158
313,157
356,157
363,157
816,157
560,156
456,155
444,155
379,155
314,155
864,155
458,154
175,154
465,152
711,152
666,151
062,151
757,149
134,148
069,148
544,148
791,148
618,147
131,147
443,147
054,146
315,146
014,146
804,146
366,145
563,145
778,145
880,144
537,141
722,141
863,141
915,140
810,140
403,140
756,139
948,139
195,139
072,138
620,137
270,137
123,137
924,136
319,135
977,134
784,134
904,134
075,133
996,132
378,131
988,131
198,131
860,131
106,130
735,130
129,130
032,129
493,128
652,128
617,128
612,127
031,125
183,125
358,124
241,124
160,124
216,123
361,123
658,123
291,122
400,122
184,122
597,121
571,121
648,120
196,120
265,120
712,119
124,118
354,118
026,117
016,116
153,115
846,114
235,113
903,112
447,112
101,111
847,111
611,111
729,110
570,110
122,110
947,110
218,109
468,109
875,109
882,109
437,108
815,108
299,107
171,107
997,107
546,106
309,106
670,106
961,106
820,105
759,105
298,105
359,105
844,104
479,104
279,104
186,103
376,102
228,102
081,101
025,101
978,101
496,101
433,101
541,101
108,101
656,100
724,100
181,100
557,100
598,100
898,99
168,99
316,98
609,98
242,98
826,98
790,98
116,97
147,97
607,97
467,97
214,96
421,96
471,96
918,96
808,95
577,94
591,94
626,93
089,93
615,92
489,91
172,91
674,91
763,91
362,91
955,90
434,90
377,90
011,90
260,89
182,89
629,89
547,89
667,89
304,88
178,88
174,87
829,87
627,87
176,86
133,86
166,85
665,85
439,85
625,84
244,84
565,84
628,84
616,83
776,83
991,83
497,83
594,83
562,83
469,83
723,82
154,82
543,81
012,81
870,80
219,80
813,80
473,80
539,80
990,79
744,78
548,78
661,77
843,77
783,77
766,77
137,77
716,77
943,77
874,76
288,76
655,76
185,75
255,75
165,75
719,75
608,74
803,74
445,74
243,74
558,74
498,74
793,73
159,73
487,73
187,73
355,72
179,72
227,71
713,71
138,71
748,71
540,71
401,70
127,70
177,70
714,69
855,69
827,68
261,68
614,67
472,67
788,67
161,67
312,66
253,66
474,66
374,66
637,66
613,66
457,65
769,64
420,64
650,64
678,64
385,63
383,63
767,63
564,63
796,62
718,62
423,62
534,62
404,62
163,62
599,61
726,60
449,60
710,60
602,60
237,60
814,60
427,60
318,59
126,59
671,59
596,58
897,58
645,57
013,57
034,57
976,57
811,57
491,56
755,56
779,56
647,56
158,55
485,55
215,54
728,54
664,54
998,54
033,53
619,53
118,53
653,53
162,53
764,52
644,52
603,52
566,51
675,51
717,50
263,50
624,50
157,50
155,49
795,48
478,48
477,48
135,47
567,46
164,46
812,46
777,45
737,45
743,45
545,44
056,44
466,44
883,44
758,44
143,44
476,43
561,43
573,43
499,42
455,42
638,42
258,42
037,42
807,42
654,42
590,41
470,41
057,41
424,40
725,40
464,40
789,40
384,40
542,39
634,39
881,38
246,38
262,38
651,38
636,37
239,37
257,37
084,36
398,36
859,36
251,36
139,35
824,35
668,35
438,35
367,35
475,35
050,35
623,34
749,34
364,33
422,33
825,32
574,32
411,32
745,31
768,31
058,30
188,30
572,30
382,29
828,29
407,29
406,28
734,27
267,27
676,27
249,26
673,26
593,25
102,25
250,25
646,25
247,24
845,24
798,24
425,24
830,24
252,24
635,22
877,22
639,21
264,21
167,21
592,21
149,21
873,21
035,21
169,21
595,20
268,20
575,20
256,20
052,20
746,20
259,20
538,20
865,19
022,19
677,18
772,17
416,17
412,17
893,17
266,17
738,16
679,16
669,16
999,16
736,15
747,15
831,15
822,14
426,14
792,14
823,14
739,14
051,14
556,13
409,13
415,13
979,13
053,12
884,12
413,12
332,11
248,11
418,11
036,10
289,9
963,9
417,8
994,8
369,7
879,7
408,6
753,6
878,6
094,5
969,5
090,5
576,4
096,4
397,2
838,2
414,2
680,2
203,2
394,2
395,2
527,2
059,2
962,2
681,1
049,1
836,1
390,1
663,1
528,1
391,1
502,1
834,1
091,1
942,1
621,1
569,1
386,1
353,1
007,1
643,1
044,1
821,1
392,1
