zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop,income_decile,poverty_decile,high_black
623,0.0336757202771501,0.0147830466640222,0.1387416038474111,45194.04779198349,111660.25,7.0,4.0,0
624,0.030286679813047,0.0175944406717711,0.1263647977393959,47200.79800053063,149904.75,7.0,4.0,0
625,0.0979098984470604,0.0164486589525254,0.1500154037770076,49198.43455227914,183382.5,8.0,5.0,0
626,0.0403697788917351,0.0299519449767557,0.1194054574588183,32480.822140359385,165411.5,5.0,3.0,0
627,0.1645775307546813,0.0199132715891871,0.1692724063505244,52032.05810418627,141671.25,8.0,7.0,0
628,0.0303255271573201,0.0152150199866812,0.1639936445903174,12120.464784592456,212202.5,4.0,6.0,0
629,0.0858392733277467,0.0262388578498994,0.2111060091747238,15825.278755867574,226318.25,4.0,9.0,0
630,0.0963568722964331,0.0216968008935697,0.0902984499367302,53851.22878739341,719021.25,9.0,2.0,0
631,0.3433712833674672,0.027958211416802,0.1761128348409719,50844.41097646554,928527.25,8.0,7.0,1
633,0.039458966698396,0.0267338409694017,0.0771476728892799,40627.94586953948,484489.25,6.0,1.0,0
634,0.0334337157404955,0.0114407291066671,0.1515502072717509,-341579.0969573506,67805.75,1.0,5.0,0
635,0.0168794957450458,0.0326612119831416,0.2056157874018964,35832.34935555282,61956.0,5.0,9.0,0
636,0.0286823119117955,0.0113766103588024,0.1933791568410602,38240.89619408699,133810.0,5.0,8.0,0
637,0.0459589415087373,0.0179660514434785,0.1620905295141809,-46611.02332683047,127231.0,3.0,6.0,0
638,0.1552346695239527,0.0274128946937212,0.2247988596639166,-312073.08463289804,122354.25,1.0,9.0,0
639,0.0282747529059244,0.0143183967336463,0.2183910982214881,-153588.24077734162,84726.5,2.0,9.0,0
640,0.060542211162292,0.0474034915440753,0.1056512942874485,2820.721636639095,606118.0,4.0,2.0,0
641,0.2635115677368642,0.0924074429578975,0.1739901923349156,1552.466471774078,550396.0,4.0,7.0,1
644,0.0229800494953466,0.0146934604773354,0.1418559772379357,45792.266860081625,104638.0,7.0,5.0,0
645,0.0457882360574628,0.055852985930493,0.1716400563041324,44259.311535950015,87493.25,7.0,7.0,0
646,0.0110395506025467,0.0131692061024202,0.1552847255732505,40911.80258641996,72774.25,6.0,6.0,0
647,0.006439865440127,0.0194353838598286,0.1765720797342889,41656.018056134,115983.75,6.0,7.0,0
648,0.0154507497011998,0.0678299624821498,0.1791064820318232,-122210.68420056714,195969.0,2.0,8.0,0
