zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop
248,0.05691817011227303,0.0033227501421609247,0.2835430761161428,-275934.1245160261,38512.0
249,0.02507408288872695,0.013227544084199273,0.1709139921353422,39103.362830096485,53573.0
250,0.02135191791259445,0.00752522112466345,0.1599839999871451,-947035.5627557815,68441.25
251,0.02539610787314495,0.007831274576459525,0.17198521918592818,-128503.55760799302,75705.75
252,0.0034194673429926497,0.00394968709999865,0.1911480590940252,-275968.6304669772,58168.75
253,0.050247654531538996,0.010719694842032449,0.14310641874575158,48222.12947525295,117368.75
254,0.060412224937137826,0.03808462338669277,0.12610028140990573,55181.43376104477,178724.0
255,0.0059664409148816756,0.0067297782568125,0.16645181745790516,45387.19059929504,141182.0
256,0.024603912664422575,0.005992835209706925,0.22343139113782612,-131956.9845711232,51405.0
257,0.05669756734621695,0.011773671920613024,0.24926455333030473,34887.0973819646,75988.25
258,0.08022675817758275,0.013032189803324825,0.1836908159225988,-1411812.693571088,90608.75
259,0.027420340540602,0.008877088600688175,0.1994522196198188,-1861404.7447615142,44861.5
260,0.02257299070520475,0.009189941975915324,0.15571301542899857,40450.056622745185,131918.5
261,0.00809703845718095,0.0072416886045945,0.1678270693180593,-207198.1468625511,132332.25
262,0.0080483709935757,0.006438220129330825,0.18893024074528303,-1359493.335586103,84589.0
263,0.022585560180818674,0.0142225869541718,0.1830122792067405,-430187.9269690738,89597.0
264,0.0078711270501642,0.007511940302630275,0.20709746666426693,36839.149742049376,58862.5
265,0.0353574719240297,0.01562320395796235,0.192667272392444,-35981.12101385713,177305.25
266,0.003427242971067525,0.0034552777332697,0.1791939842874136,-583675.9607917741,31988.25
267,0.020037835530360575,0.007933609651755075,0.1710825265262716,-306294.27844837564,55860.75
268,0.020299004874015026,0.019263916119493525,0.16008940069826588,35925.341815842585,33058.5
270,0.06269537922815202,0.06123910241773127,0.14979077988003153,47919.97250954261,288214.5
271,0.31634962911008235,0.14010871024211308,0.21377264022840212,42163.74384769924,252573.0
272,0.1704748419903231,0.09420061037109162,0.16832484170342782,45051.6765837672,579631.25
273,0.15709353407196106,0.09255638754942867,0.16256587387273225,-65568.45511416039,385006.5
274,0.36251793890698203,0.07200782155637897,0.18455090352505454,45045.03644447483,305235.0
275,0.1962788409356181,0.08749971436207322,0.13411743400039722,61222.621090737644,1071699.5
276,0.2591132024923574,0.1060951489404212,0.14241764560694795,60546.250034417884,496336.0
277,0.3765740948794453,0.13822893798515395,0.18604099522779613,50958.07666219038,260332.5
278,0.4041021259783444,0.0555025424213635,0.22935866385591086,38825.854919641184,551279.75
279,0.295106315372565,0.03687096394518503,0.17458482866674707,-43734.89483853697,197760.5
280,0.12790809322227517,0.06958513466689567,0.14618547935399462,-3445.932156586454,672644.0
281,0.14691379044007505,0.06986625611288533,0.1340958257502339,-6794.661806730375,588747.75
282,0.33331346453397404,0.12953115238385293,0.15996413621931388,56622.13631808787,807320.5
283,0.2977658284780598,0.09812100882123573,0.21505439779815785,21488.67765744185,832668.75
284,0.17358686700200507,0.05993060354720338,0.18376688803268848,45914.77859316864,476192.75
285,0.2079806952860941,0.08232267059975408,0.16637969403219707,44680.63356550095,495389.25
286,0.06670845242766663,0.06367876317227232,0.1902860858637636,-115456.32729661751,633050.75
287,0.02529252134714515,0.056966177457168074,0.1628902306320155,2361.4582629602883,538989.5
288,0.09750631732011295,0.06016802957084165,0.1871272821865005,43053.11919692856,120255.25
289,0.010381086536255475,0.025740192440921926,0.183166723485675,36083.63013553436,37713.75
290,0.2842478460063371,0.03401150650487453,0.15514128696861962,-36264.20312857395,420316.5
291,0.42708966040755825,0.05045012190598822,0.19897639193510164,39655.42193554481,369137.75
292,0.45595188883815596,0.0503015514505667,0.1821324542808327,47097.71474032419,336194.25
293,0.22139342773623083,0.047412183884405254,0.184823822464509,-56297.98666246323,392330.25
294,0.28542929223822233,0.050795893749009904,0.1619075320617067,51462.57037336378,743146.5
295,0.3055785125279003,0.037817998868920476,0.21225282688216177,39741.9850784242,638361.75
296,0.16441946986620015,0.05922678002964865,0.16898725351187194,-20776.48533234289,963661.25
297,0.21661975588659252,0.0436844988903663,0.16588100801611902,17231.466203217027,354414.75
298,0.3167362198534313,0.0439399015278859,0.20106948304505212,19387.35453364117,223573.75
299,0.2582700114704277,0.11108055429404128,0.14437679845451137,53939.00892136596,212135.75
300,0.30748322814666684,0.12281940464336982,0.13269457759699257,65478.723757282256,2215260.5
301,0.1885696074816517,0.0842771551457521,0.13889888334911726,51520.86127276051,1185796.5
302,0.4068039146496477,0.07285853249520008,0.15789742299934825,-4584.678000073381,1004706.25
303,0.44421741382236857,0.10810644095030282,0.20374536971614768,55437.43322958315,911721.0
