fold,train_cutoff,test_end,Model,Variant,threshold,FNR_gap,FPR_gap,Brier_gap,n_groups
11,2013-02,2013-03,XGBoost,Structured+Text,0.5,0.1176,0.1353,0.0471,5
11,2013-02,2013-03,XGBoost,Structured+Text,0.6,0.2632,0.1084,0.0471,5
11,2013-02,2013-03,XGBoost,Structured+Text,0.7,0.2446,0.0632,0.0471,5
12,2013-05,2013-06,Logistic,Structured,0.5,0.3077,0.1226,0.0706,12
12,2013-05,2013-06,Logistic,Structured,0.6,0.332,0.1165,0.0706,12
12,2013-05,2013-06,Logistic,Structured,0.7,0.4135,0.1047,0.0706,12
12,2013-05,2013-06,Logistic,Structured+Text,0.5,0.3077,0.1206,0.075,12
12,2013-05,2013-06,Logistic,Structured+Text,0.6,0.332,0.125,0.075,12
12,2013-05,2013-06,Logistic,Structured+Text,0.7,0.4135,0.0787,0.075,12
12,2013-05,2013-06,XGBoost,Structured,0.5,0.3077,0.1488,0.0787,12
12,2013-05,2013-06,XGBoost,Structured,0.6,0.3077,0.1671,0.0787,12
12,2013-05,2013-06,XGBoost,Structured,0.7,0.5,0.1295,0.0787,12
12,2013-05,2013-06,XGBoost,Structured+Text,0.5,0.3077,0.1521,0.0785,12
12,2013-05,2013-06,XGBoost,Structured+Text,0.6,0.3077,0.1501,0.0785,12
12,2013-05,2013-06,XGBoost,Structured+Text,0.7,0.4474,0.1211,0.0785,12
13,2013-08,2013-09,Logistic,Structured,0.5,0.2857,0.1675,0.1165,18
13,2013-08,2013-09,Logistic,Structured,0.6,0.3077,0.142,0.1165,18
13,2013-08,2013-09,Logistic,Structured,0.7,0.3615,0.1262,0.1165,18
13,2013-08,2013-09,Logistic,Structured+Text,0.5,0.2222,0.18,0.12,18
13,2013-08,2013-09,Logistic,Structured+Text,0.6,0.3077,0.1389,0.12,18
13,2013-08,2013-09,Logistic,Structured+Text,0.7,0.3615,0.145,0.12,18
13,2013-08,2013-09,XGBoost,Structured,0.5,0.2222,0.2366,0.1202,18
13,2013-08,2013-09,XGBoost,Structured,0.6,0.2308,0.2083,0.1202,18
13,2013-08,2013-09,XGBoost,Structured,0.7,0.25,0.1703,0.1202,18
13,2013-08,2013-09,XGBoost,Structured+Text,0.5,0.2222,0.2241,0.1141,18
13,2013-08,2013-09,XGBoost,Structured+Text,0.6,0.2308,0.1894,0.1141,18
13,2013-08,2013-09,XGBoost,Structured+Text,0.7,0.3013,0.1431,0.1141,18
14,2013-11,2013-12,Logistic,Structured,0.5,0.3077,0.1907,0.1101,22
14,2013-11,2013-12,Logistic,Structured,0.6,0.3913,0.1869,0.1101,22
14,2013-11,2013-12,Logistic,Structured,0.7,0.4783,0.1633,0.1101,22
14,2013-11,2013-12,Logistic,Structured+Text,0.5,0.3077,0.2167,0.11,22
14,2013-11,2013-12,Logistic,Structured+Text,0.6,0.3478,0.2008,0.11,22
14,2013-11,2013-12,Logistic,Structured+Text,0.7,0.4783,0.1679,0.11,22
14,2013-11,2013-12,XGBoost,Structured,0.5,0.2353,0.2549,0.123,22
14,2013-11,2013-12,XGBoost,Structured,0.6,0.3077,0.2267,0.123,22
14,2013-11,2013-12,XGBoost,Structured,0.7,0.3077,0.202,0.123,22
14,2013-11,2013-12,XGBoost,Structured+Text,0.5,0.2353,0.2549,0.1236,22
14,2013-11,2013-12,XGBoost,Structured+Text,0.6,0.2353,0.2267,0.1236,22
14,2013-11,2013-12,XGBoost,Structured+Text,0.7,0.3077,0.198,0.1236,22
