representation,model,grouping,fold,n_Low,AUC_Low,n_High,AUC_High,TPR_Low,TPR_High,gap_TPR,z_TPR,p_TPR,FPR_Low,FPR_High,gap_FPR,z_FPR,p_FPR,PPR_Low,PPR_High,gap_PPR,z_PPR,p_PPR,gap_AUC,q_TPR,q_FPR,q_PPR
structured,XGBoost,BlackConcentration,3,181,0.7115,661,0.6965,0.75,0.5851,-0.1649,1.4844,0.1377,0.2866,0.3386,0.052,-1.2288,0.2192,0.3481,0.3737,0.0256,-0.6329,0.5268,-0.015,0.6426,0.5114,0.7849
structured,XGBoost,BlackConcentration,4,249,0.6368,841,0.677,0.5385,0.5906,0.0521,-0.5762,0.5645,0.3762,0.3221,-0.0541,1.4597,0.1444,0.4016,0.3627,-0.0389,1.117,0.264,0.0402,0.9494,0.4055,0.6005
structured,XGBoost,BlackConcentration,5,293,0.7426,909,0.7537,0.6905,0.6466,-0.0439,0.522,0.6016,0.2789,0.2912,0.0124,-0.3756,0.7072,0.3379,0.3432,0.0054,-0.1679,0.8667,0.0111,0.9494,0.8251,0.9102
structured,XGBoost,BlackConcentration,6,349,0.6979,1002,0.6976,0.7333,0.7292,-0.0042,0.0635,0.9494,0.3979,0.3951,-0.0029,0.0854,0.9319,0.4556,0.4591,0.0035,-0.1128,0.9102,-0.0004,0.9494,0.9319,0.9102
structured,XGBoost,BlackConcentration,7,428,0.6839,1276,0.6978,0.625,0.6073,-0.0177,0.251,0.8018,0.3434,0.3023,-0.0411,1.4638,0.1432,0.3855,0.348,-0.0376,1.4028,0.1607,0.0139,0.9494,0.4055,0.5624
structured,XGBoost,BlackConcentration,8,555,0.682,1783,0.6846,0.6762,0.6994,0.0232,-0.4525,0.6509,0.4222,0.4475,0.0252,-0.9409,0.3468,0.4703,0.4964,0.0261,-1.0735,0.2831,0.0026,0.9494,0.5933,0.6005
structured,XGBoost,BlackConcentration,9,1020,0.698,2715,0.7009,0.5944,0.6238,0.0294,-0.6225,0.5336,0.3113,0.3139,0.0026,-0.144,0.8855,0.351,0.361,0.01,-0.5666,0.571,0.0029,0.9494,0.9319,0.7849
structured,XGBoost,BlackConcentration,10,1012,0.6742,2694,0.7031,0.6115,0.5933,-0.0183,0.3831,0.7017,0.3333,0.317,-0.0163,0.8753,0.3814,0.3715,0.3627,-0.0089,0.5005,0.6167,0.0288,0.9494,0.5933,0.7849
structured,XGBoost,BlackConcentration,11,1378,0.6985,3563,0.6901,0.6706,0.6439,-0.0266,0.6338,0.5262,0.3725,0.3638,-0.0088,0.5345,0.593,0.4093,0.4053,-0.004,0.2575,0.7968,-0.0084,0.9494,0.8251,0.9102
structured,XGBoost,BlackConcentration,12,1792,0.7107,4898,0.6998,0.7083,0.7021,-0.0062,0.1925,0.8473,0.3894,0.4109,0.0215,-1.458,0.1448,0.4364,0.459,0.0226,-1.643,0.1004,-0.0109,0.9494,0.4055,0.4685
structured,XGBoost,BlackConcentration,13,2170,0.6867,5628,0.7024,0.6515,0.7061,0.0547,-1.7997,0.0719,0.3747,0.4126,0.038,-2.8292,0.0047,0.4138,0.4611,0.0473,-3.7612,0.0002,0.0156,0.5033,0.0653,0.0024
structured,XGBoost,BlackConcentration,14,2684,0.689,6570,0.7071,0.5975,0.6689,0.0714,-2.5471,0.0109,0.3363,0.364,0.0278,-2.3319,0.0197,0.3752,0.4129,0.0378,-3.3611,0.0008,0.0181,0.1521,0.138,0.0054
structured,XGBoost,SES_group,1,515,0.6544,214,0.6804,0.4605,0.5714,0.1109,-1.0858,0.2775,0.2825,0.2849,0.0025,-0.0615,0.951,0.3087,0.3318,0.023,-0.6095,0.5422,0.0261,0.4643,0.951,0.5422
structured,XGBoost,SES_group,2,561,0.7188,263,0.6316,0.4423,0.4878,0.0455,-0.4369,0.6622,0.224,0.3063,0.0823,-2.3674,0.0179,0.2442,0.3346,0.0904,-2.7149,0.0066,-0.0872,0.7131,0.0279,0.0116
structured,XGBoost,SES_group,3,606,0.7765,292,0.6485,0.6094,0.6207,0.0113,-0.1282,0.898,0.2694,0.3974,0.1281,-3.5463,0.0004,0.3053,0.4418,0.1365,-4.0182,0.0001,-0.128,0.898,0.0011,0.0002
structured,XGBoost,SES_group,4,814,0.6422,397,0.7627,0.4727,0.7321,0.2594,-3.1837,0.0015,0.3125,0.3255,0.013,-0.424,0.6716,0.3342,0.3829,0.0487,-1.6684,0.0952,0.1205,0.0204,0.7232,0.1111
structured,XGBoost,SES_group,5,910,0.7198,430,0.7058,0.6119,0.6508,0.0389,-0.5252,0.5995,0.2835,0.3624,0.0789,-2.6954,0.007,0.3319,0.4047,0.0728,-2.5988,0.0094,-0.0141,0.7125,0.0123,0.0146
structured,XGBoost,SES_group,6,959,0.7236,507,0.629,0.7471,0.6827,-0.0644,1.1617,0.2454,0.3771,0.4467,0.0696,-2.3171,0.0205,0.4442,0.4951,0.0509,-1.8578,0.0632,-0.0946,0.4643,0.0287,0.0804
structured,XGBoost,SES_group,7,1211,0.689,676,0.7144,0.5789,0.6786,0.0996,-1.6871,0.0916,0.2913,0.3245,0.0331,-1.3783,0.1681,0.332,0.3831,0.0512,-2.2345,0.0255,0.0254,0.2565,0.214,0.0356
structured,XGBoost,SES_group,8,1715,0.6836,838,0.712,0.6961,0.7188,0.0227,-0.509,0.6108,0.4159,0.441,0.0251,-1.0869,0.2771,0.4659,0.494,0.0281,-1.3372,0.1812,0.0285,0.7125,0.3233,0.1951
structured,XGBoost,SES_group,9,2595,0.7094,1429,0.6893,0.5764,0.6195,0.0431,-1.0397,0.2985,0.2858,0.34,0.0542,-3.2896,0.001,0.3276,0.3842,0.0566,-3.6099,0.0003,-0.0201,0.4643,0.0023,0.0007
structured,XGBoost,SES_group,10,2711,0.6992,1356,0.705,0.5914,0.6316,0.0402,-0.9512,0.3415,0.2903,0.3426,0.0523,-3.1464,0.0017,0.3316,0.3872,0.0556,-3.5016,0.0005,0.0058,0.4781,0.0033,0.0009
structured,XGBoost,SES_group,11,3647,0.6968,1900,0.7245,0.6238,0.7119,0.0881,-2.5375,0.0112,0.3315,0.3931,0.0616,-4.2025,0.0,0.3726,0.4426,0.07,-5.0572,0.0,0.0277,0.0782,0.0002,0.0
structured,XGBoost,SES_group,12,4705,0.7009,2608,0.7034,0.6807,0.7236,0.0429,-1.5357,0.1246,0.3685,0.4189,0.0503,-3.8765,0.0001,0.4142,0.4709,0.0566,-4.6789,0.0,0.0025,0.2908,0.0004,0.0
structured,XGBoost,SES_group,13,5686,0.6873,3003,0.7034,0.6583,0.7055,0.0472,-1.7923,0.0731,0.3737,0.4197,0.046,-3.8316,0.0001,0.4156,0.4679,0.0523,-4.6768,0.0,0.0161,0.2558,0.0004,0.0
structured,XGBoost,SES_group,14,6707,0.7089,3399,0.7075,0.6352,0.692,0.0569,-2.2326,0.0256,0.3301,0.3811,0.051,-4.6828,0.0,0.3748,0.4304,0.0556,-5.4043,0.0,-0.0014,0.1194,0.0,0.0
tfidf_full,Logistic,BlackConcentration,1,180,0.638,460,0.7051,0.6667,0.6912,0.0245,-0.2483,0.8039,0.3878,0.3546,-0.0332,0.7128,0.476,0.4389,0.4043,-0.0345,0.7976,0.4251,0.067,0.8039,0.6458,0.6171
tfidf_full,Logistic,BlackConcentration,2,186,0.7167,554,0.6684,0.5909,0.5179,-0.0731,0.5824,0.5603,0.2927,0.2851,-0.0075,0.1852,0.8531,0.328,0.3087,-0.0193,0.4907,0.6236,-0.0484,0.8039,0.8531,0.7276
tfidf_full,Logistic,BlackConcentration,3,181,0.715,661,0.7052,0.5833,0.6702,0.0869,-0.7978,0.425,0.3312,0.3598,0.0286,-0.6628,0.5074,0.3646,0.4039,0.0393,-0.9579,0.3381,-0.0097,0.8039,0.6458,0.5917
tfidf_full,Logistic,BlackConcentration,4,249,0.6477,841,0.7279,0.6667,0.6929,0.0262,-0.3091,0.7572,0.381,0.3473,-0.0336,0.8948,0.3709,0.4257,0.3995,-0.0262,0.739,0.4599,0.0802,0.8039,0.6458,0.6171
tfidf_full,Logistic,BlackConcentration,5,293,0.7555,909,0.757,0.7381,0.6992,-0.0388,0.483,0.6291,0.3068,0.3222,0.0154,-0.455,0.6491,0.3686,0.3773,0.0087,-0.2686,0.7882,0.0015,0.8039,0.7223,0.7882
tfidf_full,Logistic,BlackConcentration,6,349,0.6909,1002,0.6987,0.75,0.7708,0.0208,-0.3326,0.7394,0.4775,0.4543,-0.0232,0.679,0.4972,0.5244,0.515,-0.0094,0.3022,0.7625,0.0078,0.8039,0.6458,0.7882
tfidf_full,Logistic,BlackConcentration,7,428,0.7012,1276,0.7057,0.7031,0.6545,-0.0487,0.7149,0.4747,0.3791,0.3392,-0.04,1.3835,0.1665,0.4276,0.3864,-0.0412,1.5079,0.1316,0.0045,0.8039,0.4662,0.2777
tfidf_full,Logistic,BlackConcentration,8,555,0.6813,1783,0.6804,0.7048,0.763,0.0582,-1.2064,0.2277,0.4667,0.5052,0.0386,-1.4274,0.1535,0.5117,0.5552,0.0435,-1.7985,0.0721,-0.0009,0.6375,0.4662,0.2019
tfidf_full,Logistic,BlackConcentration,9,1020,0.712,2715,0.7026,0.6853,0.699,0.0137,-0.307,0.7588,0.3683,0.3765,0.0082,-0.4252,0.6707,0.4127,0.4254,0.0127,-0.6985,0.4849,-0.0093,0.8039,0.7223,0.6171
tfidf_full,Logistic,BlackConcentration,10,1012,0.6652,2694,0.7075,0.5612,0.6629,0.1018,-2.1803,0.0292,0.3562,0.3704,0.0141,-0.7361,0.4616,0.3844,0.4187,0.0343,-1.8931,0.0583,0.0423,0.1364,0.6458,0.2019
tfidf_full,Logistic,BlackConcentration,11,1378,0.694,3563,0.6877,0.6588,0.6723,0.0135,-0.3259,0.7445,0.37,0.3865,0.0165,-0.9958,0.3194,0.4057,0.4289,0.0232,-1.4801,0.1389,-0.0062,0.8039,0.6458,0.2777
tfidf_full,Logistic,BlackConcentration,12,1792,0.7091,4898,0.7058,0.6818,0.7206,0.0388,-1.2085,0.2269,0.3822,0.4182,0.036,-2.4424,0.0146,0.4263,0.4682,0.0418,-3.0402,0.0024,-0.0033,0.6375,0.0681,0.011
tfidf_full,Logistic,BlackConcentration,13,2170,0.6874,5628,0.7033,0.6417,0.7094,0.0677,-2.2277,0.0259,0.3671,0.4182,0.051,-3.7985,0.0001,0.406,0.4662,0.0602,-4.7932,0.0,0.0159,0.1364,0.0011,0.0
tfidf_full,Logistic,BlackConcentration,14,2684,0.686,6570,0.7033,0.5875,0.6717,0.0842,-3.0041,0.0027,0.3161,0.3608,0.0447,-3.7686,0.0002,0.3566,0.4107,0.0541,-4.8307,0.0,0.0172,0.0373,0.0011,0.0
tfidf_full,Logistic,SES_group,1,515,0.6713,214,0.6525,0.6316,0.6571,0.0256,-0.2607,0.7944,0.3394,0.3966,0.0572,-1.348,0.1776,0.3825,0.4393,0.0567,-1.4243,0.1544,-0.0188,0.8391,0.2073,0.1662
tfidf_full,Logistic,SES_group,2,561,0.7145,263,0.6571,0.5577,0.5366,-0.0211,0.2031,0.8391,0.2692,0.3243,0.0552,-1.518,0.129,0.2959,0.3574,0.0615,-1.7712,0.0765,-0.0574,0.8391,0.1642,0.0974
tfidf_full,Logistic,SES_group,3,606,0.7815,292,0.676,0.7344,0.6552,-0.0792,0.9504,0.3419,0.3026,0.4231,0.1205,-3.2544,0.0011,0.3482,0.4692,0.121,-3.4862,0.0005,-0.1056,0.5318,0.0023,0.001
tfidf_full,Logistic,SES_group,4,814,0.6907,397,0.8036,0.6364,0.8393,0.2029,-2.7101,0.0067,0.3423,0.3284,-0.0139,0.4449,0.6564,0.3821,0.4005,0.0184,-0.6181,0.5365,0.1129,0.0235,0.6564,0.5365
tfidf_full,Logistic,SES_group,5,910,0.7238,430,0.7027,0.6642,0.6825,0.0184,-0.2556,0.7982,0.3119,0.3815,0.0696,-2.3295,0.0198,0.3637,0.4256,0.0618,-2.1734,0.0297,-0.0211,0.8391,0.0347,0.0444
