representation,model,grouping,fold,n_Low,AUC_Low,n_High,AUC_High,TPR_Low,TPR_High,gap_TPR,z_TPR,p_TPR,FPR_Low,FPR_High,gap_FPR,z_FPR,p_FPR,PPR_Low,PPR_High,gap_PPR,z_PPR,p_PPR,gap_AUC,q_TPR,q_FPR,q_PPR
structured,RandomForest,BlackConcentration,7,428,0.7061,1276,0.6793,0.3906,0.3089,-0.0817,1.2039,0.2286,0.1319,0.1253,-0.0065,0.3234,0.7464,0.1706,0.1528,-0.0177,0.8723,0.383,-0.0268,0.8002,0.9881,0.8186
structured,RandomForest,BlackConcentration,8,555,0.6869,1783,0.6682,0.581,0.5809,-0.0,0.0005,0.9996,0.3378,0.3305,-0.0072,0.2841,0.7764,0.3838,0.3791,-0.0046,0.197,0.8439,-0.0187,0.9996,0.9881,0.8439
structured,RandomForest,BlackConcentration,9,1020,0.6978,2715,0.7118,0.2727,0.335,0.0622,-1.3756,0.1689,0.1163,0.1164,0.0001,-0.0051,0.996,0.1382,0.1495,0.0113,-0.8706,0.384,0.014,0.7948,0.996,0.8186
structured,RandomForest,BlackConcentration,10,1012,0.6741,2694,0.7046,0.3741,0.4022,0.0281,-0.5924,0.5536,0.1684,0.1503,-0.0181,1.2528,0.2103,0.1966,0.1919,-0.0047,0.3251,0.7451,0.0305,0.8839,0.9881,0.8439
structured,RandomForest,BlackConcentration,11,1378,0.6835,3563,0.6796,0.5765,0.5398,-0.0367,0.8363,0.403,0.3146,0.3021,-0.0124,0.793,0.4278,0.3469,0.3374,-0.0095,0.6337,0.5263,-0.0039,0.8177,0.9881,0.8186
structured,RandomForest,BlackConcentration,12,1792,0.7027,4898,0.6977,0.4356,0.4648,0.0292,-0.8259,0.4088,0.2016,0.2125,0.011,-0.8974,0.3695,0.236,0.2542,0.0181,-1.5185,0.1289,-0.005,0.8177,0.9881,0.8186
structured,RandomForest,BlackConcentration,13,2170,0.6809,5628,0.6997,0.443,0.4779,0.0349,-1.0634,0.2876,0.2147,0.2134,-0.0013,0.1121,0.9108,0.247,0.2571,0.0101,-0.9181,0.3586,0.0188,0.8053,0.996,0.8186
structured,RandomForest,BlackConcentration,14,2684,0.6837,6570,0.705,0.3725,0.4383,0.0658,-2.271,0.0231,0.1734,0.1826,0.0092,-0.9606,0.3368,0.2031,0.2236,0.0205,-2.1726,0.0298,0.0212,0.324,0.9881,0.4174
structured,RandomForest,SES_group,1,515,0.6585,214,0.6174,0.4737,0.4571,-0.0165,0.1623,0.8711,0.246,0.3128,0.0668,-1.7069,0.0878,0.2796,0.3364,0.0568,-1.5305,0.1259,-0.0411,0.8711,0.1954,0.1959
structured,RandomForest,SES_group,2,561,0.6957,263,0.6167,0.3846,0.439,0.0544,-0.5299,0.5961,0.2083,0.2207,0.0125,-0.3793,0.7045,0.2246,0.2548,0.0302,-0.9527,0.3407,-0.079,0.7877,0.7045,0.3669
structured,RandomForest,SES_group,3,606,0.7624,292,0.6863,0.4688,0.4138,-0.055,0.6103,0.5417,0.1531,0.1795,0.0264,-0.9164,0.3595,0.1865,0.226,0.0396,-1.39,0.1645,-0.0761,0.7877,0.4194,0.2303
structured,RandomForest,SES_group,4,814,0.6587,397,0.7921,0.5727,0.8036,0.2308,-2.9494,0.0032,0.3736,0.3255,-0.0481,1.5197,0.1286,0.4005,0.3929,-0.0075,0.2518,0.8012,0.1334,0.0149,0.2,0.8012
structured,RandomForest,SES_group,5,910,0.7266,430,0.6949,0.6045,0.6508,0.0463,-0.6244,0.5324,0.2874,0.3351,0.0478,-1.6416,0.1007,0.3341,0.3814,0.0473,-1.6965,0.0898,-0.0317,0.7877,0.1954,0.1571
structured,RandomForest,SES_group,6,959,0.7127,507,0.6219,0.4885,0.4135,-0.075,1.2147,0.2245,0.2076,0.2754,0.0678,-2.6261,0.0086,0.2586,0.3037,0.0451,-1.8429,0.0653,-0.0908,0.4489,0.0605,0.1453
structured,RandomForest,SES_group,7,1211,0.6903,676,0.7008,0.3158,0.3304,0.0146,-0.2566,0.7975,0.1115,0.1223,0.0108,-0.6467,0.5178,0.1404,0.1568,0.0164,-0.9681,0.333,0.0105,0.8589,0.5577,0.3669
structured,RandomForest,SES_group,8,1715,0.6744,838,0.7096,0.6046,0.5812,-0.0233,0.4873,0.626,0.3293,0.3009,-0.0284,1.3037,0.1923,0.3784,0.3544,-0.024,1.1796,0.2382,0.0352,0.7877,0.2693,0.3031
structured,RandomForest,SES_group,9,2595,0.7138,1429,0.6969,0.311,0.3274,0.0164,-0.4191,0.6751,0.1067,0.1247,0.018,-1.5908,0.1116,0.136,0.1568,0.0207,-1.7949,0.0727,-0.0169,0.7877,0.1954,0.1453
structured,RandomForest,SES_group,10,2711,0.6904,1356,0.7086,0.336,0.4641,0.1281,-3.0495,0.0023,0.1402,0.1718,0.0315,-2.4449,0.0145,0.1671,0.2168,0.0497,-3.8602,0.0001,0.0182,0.0149,0.0676,0.0008
structured,RandomForest,SES_group,11,3647,0.689,1900,0.7115,0.5536,0.6237,0.0701,-1.9439,0.0519,0.2833,0.3159,0.0325,-2.3264,0.02,0.3214,0.3637,0.0423,-3.1674,0.0015,0.0225,0.1453,0.07,0.0054
structured,RandomForest,SES_group,12,4705,0.6961,2608,0.7044,0.4238,0.4629,0.0391,-1.2961,0.1949,0.1985,0.2113,0.0128,-1.1956,0.2319,0.2315,0.2542,0.0228,-2.1845,0.0289,0.0084,0.4489,0.2951,0.081
structured,RandomForest,SES_group,13,5686,0.6793,3003,0.6976,0.405,0.4921,0.0871,-3.1169,0.0018,0.1988,0.2251,0.0263,-2.6286,0.0086,0.2292,0.2701,0.0409,-4.226,0.0,0.0183,0.0149,0.0605,0.0003
structured,RandomForest,SES_group,14,6707,0.7061,3399,0.7046,0.4014,0.4675,0.0661,-2.4958,0.0126,0.1723,0.1916,0.0193,-2.2023,0.0276,0.2059,0.2354,0.0295,-3.4011,0.0007,-0.0016,0.044,0.0774,0.0031
structured,XGBoost,BlackConcentration,1,180,0.6545,460,0.6847,0.6061,0.5882,-0.0178,0.1711,0.8641,0.381,0.324,-0.057,1.244,0.2135,0.4222,0.363,-0.0592,1.387,0.1654,0.0302,0.8911,0.4354,0.386
structured,XGBoost,BlackConcentration,2,186,0.6563,554,0.6586,0.5455,0.4821,-0.0633,0.5032,0.6148,0.2988,0.2912,-0.0076,0.1858,0.8526,0.328,0.3105,-0.0175,0.4443,0.6568,0.0023,0.7825,0.9607,0.7716
structured,XGBoost,BlackConcentration,3,181,0.7033,661,0.6937,0.7083,0.6383,-0.07,0.6431,0.5201,0.3376,0.3915,0.054,-1.2327,0.2177,0.3867,0.4266,0.0399,-0.9639,0.3351,-0.0096,0.7825,0.4354,0.5864
structured,XGBoost,BlackConcentration,4,249,0.6346,841,0.6987,0.5897,0.6535,0.0638,-0.7254,0.4682,0.4048,0.3754,-0.0294,0.7711,0.4406,0.4337,0.4174,-0.0164,0.4597,0.6457,0.0642,0.7825,0.665,0.7716
structured,XGBoost,BlackConcentration,5,293,0.746,909,0.7524,0.6905,0.6692,-0.0213,0.2568,0.7973,0.3187,0.3209,0.0022,-0.0635,0.9494,0.372,0.3718,-0.0002,0.0054,0.9957,0.0065,0.8911,0.9607,0.9957
structured,XGBoost,BlackConcentration,6,349,0.6792,1002,0.6908,0.7167,0.7552,0.0385,-0.5987,0.5494,0.4498,0.4481,-0.0017,0.0493,0.9607,0.4957,0.507,0.0113,-0.3631,0.7165,0.0116,0.7825,0.9607,0.7716
structured,XGBoost,BlackConcentration,7,428,0.7065,1276,0.6994,0.6875,0.6126,-0.0749,1.0754,0.2822,0.3516,0.3088,-0.0429,1.5186,0.1289,0.4019,0.3542,-0.0476,1.7702,0.0767,-0.0071,0.7825,0.3608,0.3579
structured,XGBoost,BlackConcentration,8,555,0.6848,1783,0.6843,0.6762,0.7197,0.0435,-0.8593,0.3902,0.4133,0.444,0.0306,-1.1439,0.2527,0.4631,0.4975,0.0344,-1.4163,0.1567,-0.0005,0.7825,0.4422,0.386
structured,XGBoost,BlackConcentration,9,1020,0.7154,2715,0.7104,0.6713,0.6942,0.0228,-0.5082,0.6113,0.3717,0.3808,0.0091,-0.4722,0.6368,0.4137,0.4284,0.0146,-0.8063,0.4201,-0.005,0.7825,0.8105,0.6534
structured,XGBoost,BlackConcentration,10,1012,0.6668,2694,0.7076,0.6115,0.618,0.0065,-0.1369,0.8911,0.3746,0.3437,-0.0309,1.6202,0.1052,0.4071,0.389,-0.0181,1.0048,0.315,0.0408,0.8911,0.3608,0.5864
structured,XGBoost,BlackConcentration,11,1378,0.6927,3563,0.6872,0.6824,0.661,-0.0214,0.5138,0.6074,0.399,0.3871,-0.0119,0.7144,0.475,0.434,0.4277,-0.0062,0.3969,0.6914,-0.0056,0.7825,0.665,0.7716
structured,XGBoost,BlackConcentration,12,1792,0.7063,4898,0.702,0.7235,0.6996,-0.0239,0.7384,0.4603,0.3842,0.4082,0.024,-1.6332,0.1024,0.4342,0.4563,0.0222,-1.6131,0.1067,-0.0043,0.7825,0.3608,0.3735
structured,XGBoost,BlackConcentration,13,2170,0.6911,5628,0.7031,0.6678,0.7018,0.0341,-1.1226,0.2616,0.3709,0.4077,0.0368,-2.7498,0.006,0.4129,0.4563,0.0434,-3.4556,0.0005,0.012,0.7825,0.0417,0.0038
structured,XGBoost,BlackConcentration,14,2684,0.695,6570,0.7073,0.595,0.6708,0.0758,-2.7052,0.0068,0.3341,0.368,0.034,-2.8465,0.0044,0.373,0.4166,0.0436,-3.8823,0.0001,0.0123,0.0956,0.0417,0.0014
structured,XGBoost,SES_group,1,515,0.6728,214,0.6709,0.5789,0.6,0.0211,-0.2092,0.8343,0.3235,0.3464,0.0229,-0.5493,0.5828,0.3612,0.3879,0.0267,-0.68,0.4965,-0.002,0.9856,0.6276,0.4965
structured,XGBoost,SES_group,2,561,0.7236,263,0.6077,0.5385,0.5366,-0.0019,0.018,0.9856,0.2613,0.3739,0.1126,-3.0677,0.0022,0.287,0.3992,0.1123,-3.2126,0.0013,-0.116,0.9856,0.0043,0.0023
structured,XGBoost,SES_group,3,606,0.7682,292,0.6617,0.6562,0.6724,0.0162,-0.1888,0.8503,0.3303,0.4316,0.1014,-2.6984,0.007,0.3647,0.4795,0.1148,-3.2858,0.001,-0.1065,0.9856,0.0122,0.002
structured,XGBoost,SES_group,4,814,0.6498,397,0.789,0.5455,0.8036,0.2581,-3.2614,0.0011,0.3551,0.3607,0.0056,-0.1769,0.8596,0.3808,0.4232,0.0423,-1.415,0.1571,0.1392,0.0155,0.8596,0.1833
structured,XGBoost,SES_group,5,910,0.7212,430,0.7009,0.6343,0.6508,0.0165,-0.2245,0.8224,0.3209,0.3951,0.0742,-2.465,0.0137,0.367,0.4326,0.0655,-2.2978,0.0216,-0.0203,0.9856,0.0213,0.0302
structured,XGBoost,SES_group,6,959,0.7132,507,0.6191,0.7356,0.7404,0.0048,-0.0871,0.9306,0.4306,0.4913,0.0607,-1.9919,0.0464,0.4859,0.5424,0.0565,-2.0574,0.0396,-0.0941,0.9856,0.0649,0.0505
structured,XGBoost,SES_group,7,1211,0.697,676,0.718,0.6023,0.6964,0.0941,-1.6121,0.1069,0.2933,0.3369,0.0436,-1.8054,0.071,0.3369,0.3964,0.0595,-2.5863,0.0097,0.0209,0.2919,0.0904,0.0151
structured,XGBoost,SES_group,8,1715,0.6832,838,0.7186,0.7157,0.7438,0.0281,-0.6445,0.5193,0.4173,0.4351,0.0178,-0.7702,0.4412,0.4706,0.494,0.0235,-1.1152,0.2648,0.0354,0.9087,0.5147,0.2851
structured,XGBoost,SES_group,9,2595,0.7226,1429,0.7032,0.6622,0.677,0.0148,-0.3726,0.7095,0.3461,0.4073,0.0612,-3.5478,0.0004,0.3915,0.45,0.0584,-3.6042,0.0003,-0.0194,0.9856,0.0011,0.0007
structured,XGBoost,SES_group,10,2711,0.6959,1356,0.7037,0.5968,0.6699,0.0731,-1.7445,0.0811,0.313,0.3705,0.0576,-3.3921,0.0007,0.3519,0.4167,0.0648,-4.0254,0.0001,0.0078,0.2838,0.0016,0.0002
structured,XGBoost,SES_group,11,3647,0.692,1900,0.7214,0.6316,0.7322,0.1006,-2.9249,0.0034,0.3574,0.4193,0.0619,-4.1612,0.0,0.3959,0.4679,0.072,-5.1516,0.0,0.0294,0.0241,0.0002,0.0
structured,XGBoost,SES_group,12,4705,0.7038,2608,0.7028,0.6807,0.7213,0.0407,-1.4541,0.1459,0.3688,0.4179,0.0492,-3.7864,0.0002,0.4145,0.4697,0.0553,-4.5666,0.0,-0.001,0.2919,0.0007,0.0
structured,XGBoost,SES_group,13,5686,0.6876,3003,0.7061,0.6643,0.7036,0.0393,-1.4942,0.1351,0.3727,0.4169,0.0442,-3.6869,0.0002,0.4156,0.4652,0.0496,-4.4396,0.0,0.0184,0.2919,0.0008,0.0
