model,grouping,metric,comparison,fold,gap_structured,gap_tfidf_full,delta,gap_finbert_pca50
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,2,,-0.0451,-0.0138,-0.0589
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,3,,-0.0104,0.0221,0.0117
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,4,,0.0837,0.0087,0.0924
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,5,,0.0005,0.0157,0.0162
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,6,,0.0076,0.0139,0.0215
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,7,,0.0043,-0.0159,-0.0116
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,8,,-0.0011,0.012,0.0109
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,9,,-0.0098,0.0105,0.0007
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,10,,0.0424,-0.0037,0.0387
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,11,,-0.0063,-0.0027,-0.009
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,12,,-0.0032,-0.0048,-0.008
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,13,,0.0158,-0.0007,0.0151
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,14,,0.0178,0.0034,0.0212
Logistic,SES_group,TPR,tfidf_full - structured,1,0.0695,0.041,-0.0285,
Logistic,SES_group,TPR,tfidf_full - structured,2,0.0328,-0.0159,-0.0487,
Logistic,SES_group,TPR,tfidf_full - structured,3,0.0038,-0.0776,-0.0814,
Logistic,SES_group,TPR,tfidf_full - structured,4,0.2305,0.2214,-0.0091,
Logistic,SES_group,TPR,tfidf_full - structured,5,0.0323,0.0184,-0.0139,
Logistic,SES_group,TPR,tfidf_full - structured,6,0.0066,-0.0202,-0.0268,
Logistic,SES_group,TPR,tfidf_full - structured,7,0.1178,0.1711,0.0533,
Logistic,SES_group,TPR,tfidf_full - structured,8,0.0647,0.0457,-0.019,
