representation,model,grouping,fold,group_level,n,n_defaults,intercept,slope,ECE
structured,XGBoost,SES_group,12,High,2608,445,-1.663,1.0391,0.3071
structured,XGBoost,BlackConcentration,12,Low,1792,264,-1.7727,1.0329,0.3119
structured,XGBoost,BlackConcentration,12,High,4898,809,-1.6845,1.0267,0.3076
structured,XGBoost,SES_group,13,Low,5686,837,-1.7345,0.8749,0.3071
structured,XGBoost,SES_group,13,High,3003,506,-1.7191,1.0465,0.3161
structured,XGBoost,BlackConcentration,13,Low,2170,307,-1.7977,0.9263,0.3162
structured,XGBoost,BlackConcentration,13,High,5628,929,-1.6966,0.9988,0.3093
structured,XGBoost,SES_group,14,Low,6707,984,-1.6876,0.9827,0.2906
structured,XGBoost,SES_group,14,High,3399,539,-1.7057,1.0317,0.3048
structured,XGBoost,BlackConcentration,14,Low,2684,400,-1.6581,0.945,0.2888
structured,XGBoost,BlackConcentration,14,High,6570,1054,-1.6535,0.9917,0.2953
tfidf_full,Logistic,SES_group,1,Low,515,76,-1.7589,0.6484,0.3134
tfidf_full,Logistic,SES_group,1,High,214,35,-1.6928,0.6492,0.3182
tfidf_full,Logistic,BlackConcentration,1,Low,180,33,-1.5034,0.4315,0.2954
tfidf_full,Logistic,BlackConcentration,1,High,460,68,-1.819,0.8022,0.3208
tfidf_full,Logistic,SES_group,2,Low,561,52,-2.1289,0.7942,0.3012
tfidf_full,Logistic,SES_group,2,High,263,41,-1.6137,0.5219,0.273
tfidf_full,Logistic,SES_group,3,Low,606,64,-2.1704,1.0267,0.3213
tfidf_full,Logistic,SES_group,3,High,292,58,-1.4794,0.7438,0.2883
tfidf_full,Logistic,SES_group,4,Low,814,110,-1.8064,0.7008,0.3051
tfidf_full,Logistic,SES_group,4,High,397,56,-2.0218,1.2962,0.3201
tfidf_full,Logistic,BlackConcentration,4,Low,249,39,-1.6825,0.5111,0.3137
tfidf_full,Logistic,BlackConcentration,4,High,841,127,-1.7915,0.8768,0.3082
tfidf_full,Logistic,SES_group,5,Low,910,134,-1.6477,1.0105,0.2751
tfidf_full,Logistic,SES_group,5,High,430,63,-1.853,0.799,0.3255
tfidf_full,Logistic,BlackConcentration,5,Low,293,42,-1.7983,1.1353,0.2917
tfidf_full,Logistic,BlackConcentration,5,High,909,133,-1.7688,1.1079,0.2885
tfidf_full,Logistic,SES_group,6,Low,959,174,-1.6917,1.0392,0.3122
tfidf_full,Logistic,SES_group,6,High,507,104,-1.4747,0.523,0.3232
tfidf_full,Logistic,BlackConcentration,6,Low,349,60,-1.7295,0.9034,0.3317
tfidf_full,Logistic,BlackConcentration,6,High,1002,192,-1.6331,0.8722,0.3157
tfidf_full,Logistic,SES_group,7,Low,1211,171,-1.7453,0.838,0.2972
tfidf_full,Logistic,SES_group,7,High,676,112,-1.7156,1.0915,0.3042
tfidf_full,Logistic,BlackConcentration,7,Low,428,64,-1.7796,0.9333,0.3135
tfidf_full,Logistic,BlackConcentration,7,High,1276,191,-1.7484,0.8834,0.307
tfidf_full,Logistic,SES_group,8,Low,1715,306,-1.6624,0.7162,0.3234
tfidf_full,Logistic,SES_group,8,High,838,160,-1.7406,0.9767,0.3275
tfidf_full,Logistic,BlackConcentration,8,Low,555,105,-1.5982,0.7783,0.3079
tfidf_full,Logistic,BlackConcentration,8,High,1783,346,-1.6312,0.7789,0.3254
tfidf_full,Logistic,SES_group,9,Low,2595,373,-1.7615,0.8173,0.2953
tfidf_full,Logistic,SES_group,9,High,1429,226,-1.7629,0.7181,0.3237
tfidf_full,Logistic,BlackConcentration,9,Low,1020,143,-1.8511,0.7737,0.317
tfidf_full,Logistic,BlackConcentration,9,High,2715,412,-1.7587,0.7298,0.3104
tfidf_full,Logistic,SES_group,10,Low,2711,372,-1.7627,0.8971,0.2961
tfidf_full,Logistic,SES_group,10,High,1356,209,-1.7496,0.9187,0.3112
tfidf_full,Logistic,BlackConcentration,10,Low,1012,139,-1.8019,0.7399,0.3109
tfidf_full,Logistic,BlackConcentration,10,High,2694,445,-1.6337,0.9328,0.2917
tfidf_full,Logistic,SES_group,11,Low,3647,513,-1.7711,0.8315,0.3034
tfidf_full,Logistic,SES_group,11,High,1900,295,-1.8322,1.0161,0.3254
tfidf_full,Logistic,BlackConcentration,11,Low,1378,170,-1.9701,0.778,0.3325
tfidf_full,Logistic,BlackConcentration,11,High,3563,528,-1.7822,0.7876,0.3185
tfidf_full,Logistic,SES_group,12,Low,4705,689,-1.7833,0.9057,0.3127
tfidf_full,Logistic,SES_group,12,High,2608,445,-1.7086,1.0048,0.3159
tfidf_full,Logistic,BlackConcentration,12,Low,1792,264,-1.7841,0.9635,0.3134
tfidf_full,Logistic,BlackConcentration,12,High,4898,809,-1.7243,0.9656,0.3154
tfidf_full,Logistic,SES_group,13,Low,5686,837,-1.7493,0.8271,0.3103
tfidf_full,Logistic,SES_group,13,High,3003,506,-1.7559,0.9961,0.3235
tfidf_full,Logistic,BlackConcentration,13,Low,2170,307,-1.8077,0.8581,0.3183
tfidf_full,Logistic,BlackConcentration,13,High,5628,929,-1.7252,0.9388,0.316
tfidf_full,Logistic,SES_group,14,Low,6707,984,-1.703,0.9166,0.2939
tfidf_full,Logistic,SES_group,14,High,3399,539,-1.7339,0.9793,0.3108
tfidf_full,Logistic,BlackConcentration,14,Low,2684,400,-1.6703,0.8577,0.2915
