representation,model,grouping,fold,group_level,bin,n,mean_pred,observed_rate
structured,Logistic,SES_group,7,Low,3,114,0.3679,0.0789
structured,Logistic,SES_group,7,Low,4,122,0.4191,0.1148
structured,Logistic,SES_group,7,Low,5,118,0.4706,0.1441
structured,Logistic,SES_group,7,Low,6,119,0.5266,0.1849
structured,Logistic,SES_group,7,Low,7,93,0.5906,0.1935
structured,Logistic,SES_group,7,Low,8,108,0.6659,0.213
structured,Logistic,SES_group,7,Low,9,117,0.7786,0.3504
structured,Logistic,SES_group,7,High,0,57,0.1834,0.0351
structured,Logistic,SES_group,7,High,1,56,0.2625,0.0536
structured,Logistic,SES_group,7,High,2,56,0.3169,0.0714
structured,Logistic,SES_group,7,High,3,75,0.369,0.1067
structured,Logistic,SES_group,7,High,4,73,0.4205,0.0548
structured,Logistic,SES_group,7,High,5,69,0.474,0.1304
structured,Logistic,SES_group,7,High,6,72,0.527,0.1389
structured,Logistic,SES_group,7,High,7,69,0.5884,0.3188
structured,Logistic,SES_group,7,High,8,79,0.6676,0.3038
structured,Logistic,SES_group,7,High,9,70,0.7854,0.3714
structured,Logistic,BlackConcentration,7,Low,0,40,0.1827,0.075
structured,Logistic,BlackConcentration,7,Low,1,52,0.2593,0.0769
structured,Logistic,BlackConcentration,7,Low,2,33,0.3162,0.0303
structured,Logistic,BlackConcentration,7,Low,3,32,0.3681,0.125
structured,Logistic,BlackConcentration,7,Low,4,38,0.4181,0.0263
structured,Logistic,BlackConcentration,7,Low,5,48,0.4688,0.1042
structured,Logistic,BlackConcentration,7,Low,6,51,0.5285,0.1765
structured,Logistic,BlackConcentration,7,Low,7,40,0.5881,0.25
structured,Logistic,BlackConcentration,7,Low,8,47,0.6625,0.2128
structured,Logistic,BlackConcentration,7,Low,9,47,0.779,0.3617
structured,Logistic,BlackConcentration,7,High,0,126,0.179,0.0556
structured,Logistic,BlackConcentration,7,High,1,113,0.2623,0.0531
structured,Logistic,BlackConcentration,7,High,2,139,0.3172,0.0504
structured,Logistic,BlackConcentration,7,High,3,128,0.3694,0.0938
structured,Logistic,BlackConcentration,7,High,4,134,0.4197,0.1269
structured,Logistic,BlackConcentration,7,High,5,135,0.4718,0.1333
structured,Logistic,BlackConcentration,7,High,6,118,0.5273,0.1695
structured,Logistic,BlackConcentration,7,High,7,124,0.5887,0.2419
structured,Logistic,BlackConcentration,7,High,8,125,0.6704,0.24
structured,Logistic,BlackConcentration,7,High,9,134,0.7793,0.3284
structured,Logistic,SES_group,8,Low,0,198,0.1734,0.0606
structured,Logistic,SES_group,8,Low,1,187,0.295,0.0963
structured,Logistic,SES_group,8,Low,2,186,0.3771,0.1075
structured,Logistic,SES_group,8,Low,3,161,0.4441,0.1118
structured,Logistic,SES_group,8,Low,4,161,0.502,0.1304
structured,Logistic,SES_group,8,Low,5,173,0.5534,0.2254
