model,grouping,metric,comparison,fold,gap_structured,gap_tfidf_full,delta,gap_finbert_pca50
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,1,0.0772,,-0.0112,0.066
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,2,-0.0493,,-0.0099,-0.0592
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,3,-0.0042,,0.0139,0.0097
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,4,0.0887,,0.0091,0.0978
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,5,0.0067,,0.0119,0.0186
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,6,0.0158,,0.0058,0.0216
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,7,-0.0016,,-0.0093,-0.0109
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,8,0.0065,,0.0049,0.0114
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,9,0.0003,,0.0004,0.0007
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,10,0.0409,,-0.0022,0.0387
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,11,-0.0123,,0.0033,-0.009
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,12,-0.0083,,0.0003,-0.008
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,13,0.0163,,-0.0012,0.0151
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,14,0.0208,,0.0004,0.0212
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,1,,0.0245,0.0744,0.0989
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,2,,-0.0731,-0.0275,-0.1006
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,3,,0.0869,-0.031,0.0559
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,4,,0.0262,-0.0098,0.0164
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,5,,-0.0388,0.0551,0.0163
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,6,,0.0208,-0.0125,0.0083
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,7,,-0.0487,-0.0522,-0.1009
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,8,,0.0582,0.0116,0.0698
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,9,,0.0137,0.014,0.0277
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,10,,0.1018,-0.0643,0.0375
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,11,,0.0135,-0.0374,-0.0239
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,12,,0.0388,-0.0098,0.029
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,13,,0.0677,-0.0055,0.0622
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,14,,0.0842,0.0126,0.0968
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,1,,-0.0332,-0.0323,-0.0655
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,2,,-0.0075,0.012,0.0045
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,3,,0.0286,-0.0234,0.0052
