model,grouping,metric,comparison,mean_gap_structured,mean_gap_tfidf_full,n_folds,mean_delta,sd_delta,ci_lo,ci_hi,cohens_dz,t_stat,p_ttest,w_stat,p_wilcoxon,mean_gap_finbert_pca50,q_ttest,q_wilcoxon,both_agree_sig,both_agree_sig_BH
XGBoost,BlackConcentration,PPR,finbert_pca50 - tfidf_full,,-0.0065,14,0.0097,0.0224,-0.0032,0.0226,0.4323,1.6175,0.1298,25.0,0.0906,0.0032,0.5192,0.3624,False,False
XGBoost,BlackConcentration,AUC,finbert_pca50 - tfidf_full,,0.0123,14,-0.0013,0.0238,-0.0151,0.0124,-0.0564,-0.2111,0.8361,47.0,0.7609,0.011,0.9926,1.0,False,False
XGBoost,SES_group,TPR,tfidf_full - structured,0.0554,0.0522,14,-0.0032,0.0346,-0.0232,0.0168,-0.0934,-0.3494,0.7324,42.0,0.5416,,0.8437,0.8124,False,False
XGBoost,SES_group,FPR,tfidf_full - structured,0.0546,0.0467,14,-0.0079,0.0302,-0.0253,0.0096,-0.2596,-0.9714,0.3491,30.0,0.1726,,0.5237,0.4142,False,False
XGBoost,SES_group,PPR,tfidf_full - structured,0.0613,0.0539,14,-0.0074,0.0274,-0.0233,0.0084,-0.2719,-1.0174,0.3275,24.0,0.133,,0.5237,0.4142,False,False
XGBoost,SES_group,AUC,tfidf_full - structured,-0.0077,-0.0068,14,0.0009,0.0114,-0.0057,0.0075,0.0786,0.294,0.7734,45.0,0.6698,,0.8437,0.8578,False,False
XGBoost,SES_group,TPR,finbert_pca50 - structured,0.0554,,14,-0.0188,0.055,-0.0506,0.0129,-0.3423,-1.2806,0.2227,36.0,0.3258,0.0366,0.5237,0.5585,False,False
XGBoost,SES_group,FPR,finbert_pca50 - structured,0.0546,,14,0.0009,0.0216,-0.0116,0.0134,0.0423,0.1584,0.8766,50.0,0.9032,0.0555,0.8766,0.9032,False,False
XGBoost,SES_group,PPR,finbert_pca50 - structured,0.0613,,14,-0.0019,0.0211,-0.0141,0.0103,-0.0904,-0.3382,0.7406,49.0,0.8552,0.0594,0.8437,0.9032,False,False
XGBoost,SES_group,AUC,finbert_pca50 - structured,-0.0077,,14,-0.0067,0.015,-0.0153,0.002,-0.4453,-1.6662,0.1196,28.0,0.1353,-0.0144,0.5237,0.4142,False,False
XGBoost,SES_group,TPR,finbert_pca50 - tfidf_full,,0.0522,14,-0.0156,0.0549,-0.0473,0.0161,-0.2837,-1.0616,0.3077,46.0,0.7148,0.0366,0.5237,0.8578,False,False
XGBoost,SES_group,FPR,finbert_pca50 - tfidf_full,,0.0467,14,0.0088,0.0175,-0.0014,0.0189,0.5003,1.8718,0.0839,29.0,0.1531,0.0555,0.5237,0.4142,False,False
XGBoost,SES_group,PPR,finbert_pca50 - tfidf_full,,0.0539,14,0.0055,0.0174,-0.0045,0.0156,0.3185,1.1918,0.2546,34.0,0.2676,0.0594,0.5237,0.5352,False,False
XGBoost,SES_group,AUC,finbert_pca50 - tfidf_full,,-0.0068,14,-0.0076,0.0186,-0.0183,0.0032,-0.4052,-1.5163,0.1534,23.0,0.0676,-0.0144,0.5237,0.4142,False,False
