fold,representation,Model,n_train,n_test,n_defaults,n_features,AUC,PR_AUC,Brier,GINI,AUC_CI_lo,AUC_CI_hi
11,tfidf_chi2,XGBoost,98111,8184,1164,627,0.6959,0.2658,0.2215,0.3919,0.6799,0.7092
11,finbert_768,Logistic,98111,8184,1164,895,0.6928,0.2531,0.2281,0.3857,0.6772,0.7074
11,finbert_768,XGBoost,98111,8184,1164,895,0.697,0.2683,0.2182,0.3939,0.6814,0.7107
11,finbert_pca50,Logistic,98111,8184,1164,177,0.6955,0.2548,0.229,0.3909,0.6799,0.7111
11,finbert_pca50,XGBoost,98111,8184,1164,177,0.6957,0.2664,0.2109,0.3914,0.6793,0.7097
12,structured,Logistic,125865,10802,1739,126,0.7037,0.2957,0.2301,0.4073,0.6906,0.7158
12,structured,XGBoost,125865,10802,1739,126,0.7041,0.3031,0.2257,0.4082,0.692,0.716
12,structured_has_desc,Logistic,125865,10802,1739,127,0.7037,0.2956,0.2307,0.4074,0.6906,0.7159
12,structured_has_desc,XGBoost,125865,10802,1739,127,0.705,0.3034,0.2255,0.41,0.693,0.7171
12,lexicon,Logistic,125865,10802,1739,134,0.7046,0.2978,0.2306,0.4092,0.6915,0.7166
12,lexicon,XGBoost,125865,10802,1739,134,0.7044,0.304,0.2261,0.4089,0.6921,0.7168
12,tfidf_full,Logistic,125865,10802,1739,44362,0.7065,0.2962,0.2296,0.4129,0.6946,0.7181
12,tfidf_full,XGBoost,125865,10802,1739,44362,0.7047,0.2982,0.2312,0.4093,0.6925,0.7161
12,tfidf_chi2,Logistic,125865,10802,1739,627,0.7045,0.2945,0.2312,0.409,0.6919,0.7162
12,tfidf_chi2,XGBoost,125865,10802,1739,627,0.7032,0.3011,0.2297,0.4065,0.6909,0.7154
12,finbert_768,Logistic,125865,10802,1739,895,0.7032,0.2961,0.2296,0.4065,0.6908,0.7156
12,finbert_768,XGBoost,125865,10802,1739,895,0.7029,0.2979,0.2276,0.4059,0.691,0.715
12,finbert_pca50,Logistic,125865,10802,1739,177,0.7055,0.2973,0.2302,0.411,0.6926,0.7174
12,finbert_pca50,XGBoost,125865,10802,1739,177,0.706,0.3009,0.2216,0.4121,0.6935,0.7189
13,structured,Logistic,161023,12846,2007,127,0.6946,0.2801,0.232,0.3892,0.6827,0.7056
13,structured,XGBoost,161023,12846,2007,127,0.6961,0.2808,0.2272,0.3923,0.6844,0.7078
13,structured_has_desc,Logistic,161023,12846,2007,128,0.6945,0.2802,0.2322,0.3891,0.6826,0.7055
13,structured_has_desc,XGBoost,161023,12846,2007,128,0.6954,0.2803,0.2274,0.3907,0.6836,0.707
13,lexicon,Logistic,161023,12846,2007,135,0.6945,0.2805,0.2324,0.3891,0.6826,0.7056
13,lexicon,XGBoost,161023,12846,2007,135,0.6963,0.2804,0.2279,0.3927,0.6847,0.7075
13,tfidf_full,Logistic,161023,12846,2007,49734,0.6964,0.2806,0.2316,0.3928,0.6846,0.7076
13,tfidf_full,XGBoost,161023,12846,2007,49734,0.694,0.2774,0.2304,0.388,0.6826,0.7055
13,tfidf_chi2,Logistic,161023,12846,2007,628,0.6952,0.2793,0.233,0.3905,0.6833,0.7061
13,tfidf_chi2,XGBoost,161023,12846,2007,628,0.6949,0.2772,0.2295,0.3898,0.683,0.7063
13,finbert_768,Logistic,161023,12846,2007,896,0.6931,0.2802,0.232,0.3863,0.6812,0.7047
13,finbert_768,XGBoost,161023,12846,2007,896,0.6957,0.2814,0.2276,0.3915,0.6842,0.7067
13,finbert_pca50,Logistic,161023,12846,2007,178,0.6968,0.2859,0.2318,0.3937,0.6853,0.7079
13,finbert_pca50,XGBoost,161023,12846,2007,178,0.6966,0.2851,0.227,0.3933,0.6851,0.7081
14,structured,Logistic,202442,14845,2263,127,0.7,0.2824,0.2213,0.3999,0.6895,0.7108
14,structured,XGBoost,202442,14845,2263,127,0.7053,0.2885,0.2152,0.4107,0.6954,0.7162
14,structured_has_desc,Logistic,202442,14845,2263,128,0.7,0.2824,0.2213,0.3999,0.6895,0.7108
14,structured_has_desc,XGBoost,202442,14845,2263,128,0.7058,0.289,0.2152,0.4116,0.6957,0.7164
14,lexicon,Logistic,202442,14845,2263,135,0.6995,0.2823,0.2215,0.399,0.6889,0.7102
14,lexicon,XGBoost,202442,14845,2263,135,0.7055,0.2908,0.2153,0.411,0.6957,0.7164
14,tfidf_full,Logistic,202442,14845,2263,55156,0.703,0.2856,0.2185,0.4059,0.6923,0.7146
14,tfidf_full,XGBoost,202442,14845,2263,55156,0.7045,0.2869,0.2176,0.4089,0.6937,0.7156
14,tfidf_chi2,Logistic,202442,14845,2263,628,0.7012,0.2833,0.2216,0.4023,0.691,0.7125
14,tfidf_chi2,XGBoost,202442,14845,2263,628,0.7056,0.2877,0.2175,0.4112,0.6955,0.7162
14,finbert_768,Logistic,202442,14845,2263,896,0.7,0.2842,0.2216,0.3999,0.6881,0.7113
14,finbert_768,XGBoost,202442,14845,2263,896,0.7049,0.2909,0.2159,0.4099,0.6945,0.716
14,finbert_pca50,Logistic,202442,14845,2263,178,0.7007,0.2849,0.2216,0.4015,0.6899,0.7117
14,finbert_pca50,XGBoost,202442,14845,2263,178,0.7063,0.2909,0.2158,0.4125,0.6963,0.7175
