fold,Model,representation,AUC_structured,AUC_representation,Delta_AUC,Z_stat,p_value,q_value
8,XGBoost,lexicon,0.6895,0.6925,0.003,-1.201,0.2297,0.8039499999999999
8,XGBoost,tfidf_full,0.6895,0.6865,-0.0029,0.528,0.5976,0.9590000000000001
8,XGBoost,tfidf_chi2,0.6895,0.6923,0.0028,-0.6,0.5484,0.9590000000000001
8,XGBoost,finbert_768,0.6895,0.6852,-0.0042,0.658,0.5103,0.9590000000000001
8,XGBoost,finbert_pca50,0.6895,0.6896,0.0002,-0.037,0.9705,0.9821927710843374
9,Logistic,structured_has_desc,0.6996,0.6993,-0.0004,0.955,0.3396,0.63392
9,Logistic,lexicon,0.6996,0.7006,0.001,-1.283,0.1994,0.523425
9,Logistic,tfidf_full,0.6996,0.7018,0.0022,-1.297,0.1945,0.523425
9,Logistic,tfidf_chi2,0.6996,0.6981,-0.0015,1.091,0.2752,0.6083368421052632
9,Logistic,finbert_768,0.6996,0.6877,-0.0119,2.65,0.008,0.11004
9,Logistic,finbert_pca50,0.6996,0.7017,0.002,-0.854,0.3929,0.6729882352941177
9,XGBoost,structured_has_desc,0.7006,0.6961,-0.0045,2.038,0.0415,0.5810000000000001
9,XGBoost,lexicon,0.7006,0.6971,-0.0034,1.363,0.1728,0.7628727272727273
9,XGBoost,tfidf_full,0.7006,0.7109,0.0103,-2.262,0.0237,0.39815999999999996
9,XGBoost,tfidf_chi2,0.7006,0.7111,0.0105,-2.93,0.0034,0.09519999999999999
9,XGBoost,finbert_768,0.7006,0.7032,0.0026,-0.483,0.6294,0.9590000000000001
9,XGBoost,finbert_pca50,0.7006,0.7045,0.0039,-0.987,0.3236,0.9135636363636364
10,Logistic,structured_has_desc,0.6927,0.6928,0.0002,-0.794,0.4269,0.6761236363636364
10,Logistic,lexicon,0.6927,0.6942,0.0016,-2.31,0.0209,0.13504615384615384
10,Logistic,tfidf_full,0.6927,0.6957,0.0031,-2.004,0.0451,0.22026666666666667
10,Logistic,tfidf_chi2,0.6927,0.6937,0.0011,-1.045,0.296,0.6120545454545454
10,Logistic,finbert_768,0.6927,0.6898,-0.0029,0.733,0.4637,0.6833473684210527
10,Logistic,finbert_pca50,0.6927,0.6949,0.0022,-1.008,0.3136,0.6120545454545454
10,XGBoost,structured_has_desc,0.6953,0.6941,-0.0012,1.137,0.2555,0.8345076923076923
10,XGBoost,lexicon,0.6953,0.6955,0.0002,-0.111,0.9114,0.966315
10,XGBoost,tfidf_full,0.6953,0.6903,-0.005,1.626,0.104,0.7628727272727273
10,XGBoost,tfidf_chi2,0.6953,0.6942,-0.0011,0.427,0.6697,0.9590000000000001
10,XGBoost,finbert_768,0.6953,0.6888,-0.0065,1.824,0.0681,0.74025
10,XGBoost,finbert_pca50,0.6953,0.694,-0.0013,0.444,0.6568,0.9590000000000001
11,Logistic,structured_has_desc,0.6917,0.6915,-0.0002,0.826,0.4086,0.6729882352941177
11,Logistic,lexicon,0.6917,0.6926,0.0009,-1.466,0.1427,0.4439555555555555
11,Logistic,tfidf_full,0.6917,0.6959,0.0042,-3.059,0.0022,0.06160000000000001
11,Logistic,tfidf_chi2,0.6917,0.693,0.0013,-1.308,0.1908,0.523425
11,Logistic,finbert_768,0.6917,0.6928,0.0011,-0.379,0.7049,0.811117808219178
11,Logistic,finbert_pca50,0.6917,0.6955,0.0037,-2.242,0.025,0.15
11,XGBoost,structured_has_desc,0.6972,0.6967,-0.0005,0.56,0.5753,0.9590000000000001
11,XGBoost,lexicon,0.6972,0.6951,-0.002,1.523,0.1278,0.7628727272727273
