fold,Model,representation,AUC_structured,AUC_representation,Delta_AUC,Z_stat,p_value
9,XGBoost,lexicon,0.7006,0.6971,-0.0034,1.363,0.1728
9,XGBoost,tfidf_full,0.7006,0.7109,0.0103,-2.262,0.0237
9,XGBoost,tfidf_chi2,0.7006,0.7111,0.0105,-2.93,0.0034
9,XGBoost,finbert_768,0.7006,0.7032,0.0026,-0.483,0.6294
9,XGBoost,finbert_pca50,0.7006,0.7045,0.0039,-0.987,0.3236
10,Logistic,structured_has_desc,0.6927,0.6928,0.0002,-0.794,0.4269
10,Logistic,lexicon,0.6927,0.6942,0.0016,-2.31,0.0209
10,Logistic,tfidf_full,0.6927,0.6957,0.0031,-2.004,0.0451
10,Logistic,tfidf_chi2,0.6927,0.6937,0.0011,-1.045,0.296
10,Logistic,finbert_768,0.6927,0.6898,-0.0029,0.733,0.4637
10,Logistic,finbert_pca50,0.6927,0.6949,0.0022,-1.008,0.3136
10,XGBoost,structured_has_desc,0.6953,0.6941,-0.0012,1.137,0.2555
10,XGBoost,lexicon,0.6953,0.6955,0.0002,-0.111,0.9114
10,XGBoost,tfidf_full,0.6953,0.6903,-0.005,1.626,0.104
10,XGBoost,tfidf_chi2,0.6953,0.6942,-0.0011,0.427,0.6697
10,XGBoost,finbert_768,0.6953,0.6888,-0.0065,1.824,0.0681
10,XGBoost,finbert_pca50,0.6953,0.694,-0.0013,0.444,0.6568
11,Logistic,structured_has_desc,0.6917,0.6915,-0.0002,0.826,0.4086
11,Logistic,lexicon,0.6917,0.6926,0.0009,-1.466,0.1427
11,Logistic,tfidf_full,0.6917,0.6959,0.0042,-3.059,0.0022
11,Logistic,tfidf_chi2,0.6917,0.693,0.0013,-1.308,0.1908
11,Logistic,finbert_768,0.6917,0.6928,0.0011,-0.379,0.7049
11,Logistic,finbert_pca50,0.6917,0.6955,0.0037,-2.242,0.025
11,XGBoost,structured_has_desc,0.6972,0.6967,-0.0005,0.56,0.5753
11,XGBoost,lexicon,0.6972,0.6951,-0.002,1.523,0.1278
11,XGBoost,tfidf_full,0.6972,0.6906,-0.0066,2.479,0.0132
11,XGBoost,tfidf_chi2,0.6972,0.6959,-0.0012,0.535,0.5929
11,XGBoost,finbert_768,0.6972,0.697,-0.0002,0.077,0.9389
11,XGBoost,finbert_pca50,0.6972,0.6957,-0.0015,0.652,0.5143
12,Logistic,structured_has_desc,0.7037,0.7037,0.0,-0.474,0.6352
12,Logistic,lexicon,0.7037,0.7046,0.0009,-1.91,0.0561
12,Logistic,tfidf_full,0.7037,0.7065,0.0028,-2.482,0.0131
12,Logistic,tfidf_chi2,0.7037,0.7045,0.0008,-1.052,0.2927
12,Logistic,finbert_768,0.7037,0.7032,-0.0004,0.236,0.8134
12,Logistic,finbert_pca50,0.7037,0.7055,0.0018,-1.561,0.1186
12,XGBoost,structured_has_desc,0.7041,0.705,0.0009,-1.52,0.1285
12,XGBoost,lexicon,0.7041,0.7044,0.0003,-0.364,0.716
12,XGBoost,tfidf_full,0.7041,0.7047,0.0005,-0.304,0.7612
12,XGBoost,tfidf_chi2,0.7041,0.7032,-0.0009,0.514,0.6071
12,XGBoost,finbert_768,0.7041,0.7029,-0.0012,0.622,0.5336
12,XGBoost,finbert_pca50,0.7041,0.706,0.0019,-1.287,0.1983
13,Logistic,structured_has_desc,0.6946,0.6945,-0.0,0.584,0.5594
13,Logistic,lexicon,0.6946,0.6945,-0.0,0.088,0.9295
13,Logistic,tfidf_full,0.6946,0.6964,0.0018,-1.789,0.0735
