fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,Variant,AUC,PR_AUC,Brier,GINI,threshold,FNR_gap,FPR_gap,Brier_gap,n_groups
2,2010-11,2010-12,10267,1269,143,XGBoost,Structured+Text,0.8647045671912457,0.41168205324833373,0.1272028684616089,0.7294091343824913,0.6,,,,0
2,2010-11,2010-12,10267,1269,143,XGBoost,Structured+Text,0.8647045671912457,0.41168205324833373,0.1272028684616089,0.7294091343824913,0.7,,,,0
3,2011-02,2011-03,14214,1448,210,Logistic,Structured,0.871524732671744,0.5282487297865914,0.1590840220451355,0.743049465343488,0.5,,,,0
3,2011-02,2011-03,14214,1448,210,Logistic,Structured,0.871524732671744,0.5282487297865914,0.1590840220451355,0.743049465343488,0.6,,,,0
3,2011-02,2011-03,14214,1448,210,Logistic,Structured,0.871524732671744,0.5282487297865914,0.1590840220451355,0.743049465343488,0.7,,,,0
3,2011-02,2011-03,14214,1448,210,Logistic,Structured+Text,0.867947534425725,0.5375682650074758,0.15960865060432755,0.7358950688514501,0.5,,,,0
3,2011-02,2011-03,14214,1448,210,Logistic,Structured+Text,0.867947534425725,0.5375682650074758,0.15960865060432755,0.7358950688514501,0.6,,,,0
3,2011-02,2011-03,14214,1448,210,Logistic,Structured+Text,0.867947534425725,0.5375682650074758,0.15960865060432755,0.7358950688514501,0.7,,,,0
3,2011-02,2011-03,14214,1448,210,XGBoost,Structured,0.875451957842911,0.5261821238941936,0.14058233797550201,0.7509039156858219,0.5,,,,0
3,2011-02,2011-03,14214,1448,210,XGBoost,Structured,0.875451957842911,0.5261821238941936,0.14058233797550201,0.7509039156858219,0.6,,,,0
3,2011-02,2011-03,14214,1448,210,XGBoost,Structured,0.875451957842911,0.5261821238941936,0.14058233797550201,0.7509039156858219,0.7,,,,0
3,2011-02,2011-03,14214,1448,210,XGBoost,Structured+Text,0.8739018386029694,0.5356234577424063,0.14099529385566711,0.7478036772059389,0.5,,,,0
3,2011-02,2011-03,14214,1448,210,XGBoost,Structured+Text,0.8739018386029694,0.5356234577424063,0.14099529385566711,0.7478036772059389,0.6,,,,0
3,2011-02,2011-03,14214,1448,210,XGBoost,Structured+Text,0.8739018386029694,0.5356234577424063,0.14099529385566711,0.7478036772059389,0.7,,,,0
4,2011-05,2011-06,18929,1835,271,Logistic,Structured,0.857152631628618,0.5210733869515903,0.15934441983699799,0.714305263257236,0.5,,,,0
4,2011-05,2011-06,18929,1835,271,Logistic,Structured,0.857152631628618,0.5210733869515903,0.15934441983699799,0.714305263257236,0.6,,,,0
4,2011-05,2011-06,18929,1835,271,Logistic,Structured,0.857152631628618,0.5210733869515903,0.15934441983699799,0.714305263257236,0.7,,,,0
4,2011-05,2011-06,18929,1835,271,Logistic,Structured+Text,0.8565415577429432,0.5098753272533572,0.15839229322934056,0.7130831154858863,0.5,,,,0
4,2011-05,2011-06,18929,1835,271,Logistic,Structured+Text,0.8565415577429432,0.5098753272533572,0.15839229322934056,0.7130831154858863,0.6,,,,0
4,2011-05,2011-06,18929,1835,271,Logistic,Structured+Text,0.8565415577429432,0.5098753272533572,0.15839229322934056,0.7130831154858863,0.7,,,,0
4,2011-05,2011-06,18929,1835,271,XGBoost,Structured,0.8690107681127963,0.5565783395105425,0.143827885389328,0.7380215362255926,0.5,,,,0
4,2011-05,2011-06,18929,1835,271,XGBoost,Structured,0.8690107681127963,0.5565783395105425,0.143827885389328,0.7380215362255926,0.6,,,,0
4,2011-05,2011-06,18929,1835,271,XGBoost,Structured,0.8690107681127963,0.5565783395105425,0.143827885389328,0.7380215362255926,0.7,,,,0
4,2011-05,2011-06,18929,1835,271,XGBoost,Structured+Text,0.8665240041147214,0.5468567795306356,0.1430833637714386,0.7330480082294428,0.5,,,,0
4,2011-05,2011-06,18929,1835,271,XGBoost,Structured+Text,0.8665240041147214,0.5468567795306356,0.1430833637714386,0.7330480082294428,0.6,,,,0
4,2011-05,2011-06,18929,1835,271,XGBoost,Structured+Text,0.8665240041147214,0.5468567795306356,0.1430833637714386,0.7330480082294428,0.7,,,,0
5,2011-08,2011-09,24573,2067,308,Logistic,Structured,0.8878698050102257,0.5429435925340511,0.14176486432552338,0.7757396100204514,0.5,,,,0
5,2011-08,2011-09,24573,2067,308,Logistic,Structured,0.8878698050102257,0.5429435925340511,0.14176486432552338,0.7757396100204514,0.6,,,,0
5,2011-08,2011-09,24573,2067,308,Logistic,Structured,0.8878698050102257,0.5429435925340511,0.14176486432552338,0.7757396100204514,0.7,,,,0
5,2011-08,2011-09,24573,2067,308,Logistic,Structured+Text,0.8858357390193661,0.5360921623485881,0.1422385243089487,0.7716714780387322,0.5,,,,0
5,2011-08,2011-09,24573,2067,308,Logistic,Structured+Text,0.8858357390193661,0.5360921623485881,0.1422385243089487,0.7716714780387322,0.6,,,,0
5,2011-08,2011-09,24573,2067,308,Logistic,Structured+Text,0.8858357390193661,0.5360921623485881,0.1422385243089487,0.7716714780387322,0.7,,,,0
5,2011-08,2011-09,24573,2067,308,XGBoost,Structured,0.8951071668524768,0.5798231936122096,0.1314561814069748,0.7902143337049536,0.5,,,,0
5,2011-08,2011-09,24573,2067,308,XGBoost,Structured,0.8951071668524768,0.5798231936122096,0.1314561814069748,0.7902143337049536,0.6,,,,0
5,2011-08,2011-09,24573,2067,308,XGBoost,Structured,0.8951071668524768,0.5798231936122096,0.1314561814069748,0.7902143337049536,0.7,,,,0
5,2011-08,2011-09,24573,2067,308,XGBoost,Structured+Text,0.8967536159122288,0.5635156150077401,0.1299302875995636,0.7935072318244576,0.5,,,,0
5,2011-08,2011-09,24573,2067,308,XGBoost,Structured+Text,0.8967536159122288,0.5635156150077401,0.1299302875995636,0.7935072318244576,0.6,,,,0
5,2011-08,2011-09,24573,2067,308,XGBoost,Structured+Text,0.8967536159122288,0.5635156150077401,0.1299302875995636,0.7935072318244576,0.7,,,,0
6,2011-11,2011-12,30990,2267,431,Logistic,Structured,0.8749109079053122,0.5794078487126055,0.17232877016067505,0.7498218158106245,0.5,,,,0
6,2011-11,2011-12,30990,2267,431,Logistic,Structured,0.8749109079053122,0.5794078487126055,0.17232877016067505,0.7498218158106245,0.6,,,,0
6,2011-11,2011-12,30990,2267,431,Logistic,Structured,0.8749109079053122,0.5794078487126055,0.17232877016067505,0.7498218158106245,0.7,,,,0
