fold,representation,model,n_sub,n_val,best_params,best_val_AUC,all_candidates
4,structured,XGBoost,14532,3633,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7023,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.7023}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6911}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6965}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6826}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6844}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6654}]"
4,structured,RandomForest,14532,3633,"{""min_samples_leaf"": 50}",0.6996,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6974}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.699}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.6996}]"
4,tfidf_full,Logistic,14532,3633,"{""C"": 0.01}",0.707,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.707}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7057}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.7031}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.7009}, {""params"": {""C"": 1}, ""val_AUC"": 0.6995}]"
4,tfidf_full,XGBoost,14532,3633,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.7015,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.7015}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6913}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.7002}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.684}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6896}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6684}]"
4,tfidf_full,RandomForest,14532,3633,"{""min_samples_leaf"": 20}",0.6886,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6818}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.6886}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.6872}]"
4,finbert_pca50,Logistic,14532,3633,"{""C"": 0.01}",0.7032,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7032}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7025}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.702}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.7013}, {""params"": {""C"": 1}, ""val_AUC"": 0.7014}]"
4,finbert_pca50,XGBoost,14532,3633,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6994,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.6994}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6887}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6917}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6799}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6779}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6634}]"
4,finbert_pca50,RandomForest,14532,3633,"{""min_samples_leaf"": 50}",0.694,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6844}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.689}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.694}]"
5,structured,Logistic,18837,4710,"{""C"": 0.01}",0.7044,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7044}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7041}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.7038}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.7037}, {""params"": {""C"": 1}, ""val_AUC"": 0.7037}]"
5,structured,XGBoost,18837,4710,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6961,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.6961}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6853}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6888}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6769}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6738}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6642}]"
