Term,Type,Document_Frequency,Distress
far,Unigram,1028,0
card year,Bigram,1027,0
people,Unigram,1027,0
clear,Unigram,1026,0
financially,Unigram,1024,0
make monthly,Bigram,1022,0
period,Unigram,1019,0
let,Unigram,1017,0
second,Unigram,1015,0
look forward,Bigram,1012,0
room,Unigram,1008,0
seek,Unigram,1005,0
consolidate higher,Bigram,1001,0
card higher,Bigram,998,0
capital,Unigram,994,0
marry,Unigram,988,0
mean,Unigram,982,0
just need,Bigram,980,0
industry,Unigram,979,0
fund use,Bigram,977,0
son,Unigram,977,0
purchase home,Bigram,976,0
completely,Unigram,972,0
person,Unigram,972,0
value,Unigram,972,0
card account,Bigram,968,0
car payment,Bigram,966,0
say,Unigram,961,0
wish,Unigram,957,0
monthly expense,Bigram,950,0
repayment,Unigram,950,0
require,Unigram,949,0
add currently,Bigram,946,0
previous,Unigram,946,0
default,Unigram,943,0
add purchase,Bigram,933,0
,Unigram,931,0
bring,Unigram,930,0
card company,Bigram,926,0
quot,Unigram,926,0
believe,Unigram,924,0
card want,Bigram,924,0
floor,Unigram,924,0
add refinance,Bigram,912,0
greatly,Unigram,911,0
salary,Unigram,910,0
smaller,Unigram,905,0
return,Unigram,903,0
refinance credit,Bigram,902,0
ahead,Unigram,899,0
report,Unigram,898,0
chase,Unigram,894,0
pool,Unigram,890,0
control,Unigram,889,0
lower payment,Bigram,887,0
check,Unigram,886,0
decide,Unigram,884,0
add higher,Bigram,881,0
tire,Unigram,873,0
big,Unigram,871,0
thank time,Bigram,869,0
fully,Unigram,866,0
bite,Unigram,864,0
note,Unigram,861,0
addition,Unigram,860,0
manageable,Unigram,857,0
consolidate monthly,Bigram,852,0
thank advance,Bigram,849,0
higher rat,Bigram,848,0
food,Unigram,845,0
reliable,Unigram,841,0
truck,Unigram,837,0
sale,Unigram,835,0
tell,Unigram,833,0
degree,Unigram,831,0
flow,Unigram,831,0
member,Unigram,830,0
solid,Unigram,830,0
time job,Bigram,828,0
stay,Unigram,825,0
upgrade,Unigram,824,0
timely,Unigram,821,0
credit rat,Bigram,809,0
payment instead,Bigram,808,0
discover,Unigram,805,0
focus,Unigram,805,0
afford,Unigram,803,0
obtain,Unigram,801,0
store,Unigram,801,0
medical expense,Bigram,799,0
card rat,Bigram,797,0
cash flow,Bigram,797,0
payment thank,Bigram,797,0
dream,Unigram,795,0
area,Unigram,792,0
card close,Bigram,792,0
experience,Unigram,791,0
payment year,Bigram,791,0
parent,Unigram,790,0
longer,Unigram,784,0
need credit,Bigram,783,0
improve credit,Bigram,782,0
professional,Unigram,782,0
win,Unigram,782,0
approximately,Unigram,781,0
gas,Unigram,781,0
card consolidate,Bigram,778,0
need help,Bigram,778,0
overall,Unigram,771,0
buy house,Bigram,770,0
expect,Unigram,770,0
card refinance,Bigram,769,0
approve,Unigram,766,0
year add,Bigram,765,0
extremely,Unigram,762,0
lendingclub,Unigram,760,0
assist,Unigram,759,0
payment history,Bigram,757,0
close account,Bigram,752,0
actually,Unigram,745,0
hold,Unigram,744,0
revolve credit,Bigram,744,0
reduce monthly,Bigram,743,0
ready,Unigram,742,0
step,Unigram,739,0
meet,Unigram,730,0
clean,Unigram,729,0
phone,Unigram,729,0
single payment,Bigram,728,0
field,Unigram,727,0
work hard,Bigram,727,0
intrest,Unigram,726,0
sure,Unigram,726,0
credit report,Bigram,719,0
work time,Bigram,719,0
easy payment,Bigram,716,0
simply,Unigram,716,0
stand,Unigram,716,0
current job,Bigram,714,0
year old,Bigram,712,0
add make,Bigram,710,0
enable,Unigram,710,0
cancel,Unigram,703,0
card just,Bigram,703,0
update,Unigram,703,0
deal,Unigram,701,0
maintain,Unigram,701,0
dental,Unigram,696,0
help consolidate,Bigram,695,0
thank consider,Bigram,694,0
card car,Bigram,693,0
reasonable,Unigram,693,0
result,Unigram,693,0
need money,Bigram,692,0
goal free,Bigram,691,0
record,Unigram,691,0
water,Unigram,691,0
answer,Unigram,690,0
card free,Bigram,690,0
card personal,Bigram,687,0
freedom,Unigram,685,0
add year,Bigram,684,0
employer year,Bigram,683,0
home repair,Bigram,683,0
friend,Unigram,681,0
use high,Bigram,680,0
follow,Unigram,679,0
equipment,Unigram,673,0
furniture,Unigram,673,0
health,Unigram,672,0
base,Unigram,671,0
security,Unigram,670,0
simple,Unigram,670,0
limit,Unigram,669,0
card medical,Bigram,668,0
option,Unigram,667,0
card credit,Bigram,666,0
recent,Unigram,663,0
husband,Unigram,662,0
make good,Bigram,662,0
card help,Bigram,660,0
risk,Unigram,660,0
add recently,Bigram,659,0
line credit,Bigram,659,0
master,Unigram,659,0
creditor,Unigram,658,0
easily,Unigram,658,0
economy,Unigram,658,0
add buy,Bigram,657,0
available,Unigram,656,0
start save,Bigram,655,0
household,Unigram,653,0
education,Unigram,652,0
list,Unigram,652,0
turn,Unigram,652,0
happy,Unigram,650,0
accrue,Unigram,649,0
achieve,Unigram,649,0
retirement,Unigram,647,0
add personal,Bigram,643,0
balance credit,Bigram,640,0
chance,Unigram,640,0
bad,Unigram,638,0
point,Unigram,638,0
card thank,Bigram,637,0
carry,Unigram,635,0
fund consolidate,Bigram,635,0
lower rat,Bigram,633,0
year thank,Bigram,631,0
story,Unigram,627,0
add new,Bigram,626,0
employee,Unigram,625,0
window,Unigram,625,0
establish,Unigram,624,0
money use,Bigram,624,0
rid credit,Bigram,623,0
feel free,Bigram,622,0
reach,Unigram,622,0
real,Unigram,617,0
fresh,Unigram,616,0
lose,Unigram,616,0
year plan,Bigram,616,0
america,Unigram,615,0
equity,Unigram,615,0
exist credit,Bigram,615,0
new home,Bigram,615,0
close credit,Bigram,614,0
hopefully,Unigram,613,0
apartment,Unigram,612,0
number,Unigram,612,0
hospital,Unigram,611,0
card time,Bigram,605,0
assistance,Unigram,603,0
motorcycle,Unigram,603,0
create,Unigram,602,0
important,Unigram,601,0
current credit,Bigram,599,0
expand,Unigram,599,0
payment monthly,Bigram,597,0
information,Unigram,593,0
surgery,Unigram,592,1
average,Unigram,591,0
card rate,Bigram,590,0
program,Unigram,588,0
add money,Bigram,586,0
owner,Unigram,585,0
credit account,Bigram,580,0
buy home,Bigram,578,0
add time,Bigram,575,0
home year,Bigram,574,0
like use,Bigram,572,0
remainder,Unigram,572,0
save month,Bigram,571,0
money credit,Bigram,570,0
simplify,Unigram,569,0
travel,Unigram,569,0
item,Unigram,566,0
summer,Unigram,566,0
add job,Bigram,565,0
earn,Unigram,565,0
fix rate,Bigram,565,0
help credit,Bigram,563,0
card month,Bigram,562,0
visa,Unigram,562,0
difficult,Unigram,559,0
just payment,Bigram,559,0
perfect,Unigram,559,0
mother,Unigram,558,0
work company,Bigram,557,0
excite,Unigram,556,0
paint,Unigram,556,0
steady job,Bigram,556,0
main,Unigram,554,0
