Term,Type,Document_Frequency
look eliminate,Bigram,52
look request,Bigram,52
major repair,Bigram,52
make bad,Bigram,52
make double,Bigram,52
make significant,Bigram,52
month budget,Bigram,52
month income,Bigram,52
month plus,Bigram,52
need close,Bigram,52
nurse school,Bigram,52
ohio,Unigram,52
passion,Unigram,52
past credit,Bigram,52
payment approximately,Bigram,52
payment dollar,Bigram,52
payment entire,Bigram,52
payment long,Bigram,52
payment quickly,Bigram,52
payment request,Bigram,52
payment significantly,Bigram,52
payment track,Bigram,52
personal lower,Bigram,52
phone car,Bigram,52
plane,Unigram,52
pmts,Unigram,52
point life,Bigram,52
project house,Bigram,52
purchase credit,Bigram,52
purpose refinance,Bigram,52
purpose request,Bigram,52
rarely,Unigram,52
reason apply,Bigram,52
remain use,Bigram,52
rent mortgage,Bigram,52
restoration,Unigram,52
score year,Bigram,52
seek consolidation,Bigram,52
sky,Unigram,52
social security,Bigram,52
stage,Unigram,52
start college,Bigram,52
start money,Bigram,52
steady time,Bigram,52
try purchase,Bigram,52
usaa,Unigram,52
utility car,Bigram,52
way save,Bigram,52
work want,Bigram,52
year card,Bigram,52
year include,Bigram,52
year secure,Bigram,52
able money,Bigram,51
able sooner,Bigram,51
able time,Bigram,51
actively,Unigram,51
add budget,Bigram,51
add catch,Bigram,51
add correction,Bigram,51
add renovate,Bigram,51
add smaller,Bigram,51
airline,Unigram,51
amazon,Unigram,51
apr rat,Bigram,51
apr want,Bigram,51
attorney fee,Bigram,51
balance currently,Bigram,51
boston,Unigram,51
card avoid,Bigram,51
card away,Bigram,51
card hop,Bigram,51
card obtain,Bigram,51
card provide,Bigram,51
card result,Bigram,51
career year,Bigram,51
cash saving,Bigram,51
college degree,Bigram,51
come need,Bigram,51
company just,Bigram,51
consolidation car,Bigram,51
current account,Bigram,51
currently stable,Bigram,51
drown,Unigram,51
easier add,Bigram,51
easier track,Bigram,51
egg,Unigram,51
end term,Bigram,51
excellent history,Bigram,51
expense low,Bigram,51
fax,Unigram,51
feel better,Bigram,51
finance better,Bigram,51
fyi,Unigram,51
garage door,Bigram,51
graduate degree,Bigram,51
great idea,Bigram,51
heat pump,Bigram,51
help support,Bigram,51
help way,Bigram,51
high interst,Bigram,51
high need,Bigram,51
hobby,Unigram,51
house just,Bigram,51
hurt credit,Bigram,51
improvement repair,Bigram,51
income expense,Bigram,51
instead month,Bigram,51
introductory,Unigram,51
invest help,Bigram,51
job current,Bigram,51
just tire,Bigram,51
lastly,Unigram,51
live life,Bigram,51
look rid,Bigram,51
low income,Bigram,51
make huge,Bigram,51
mechanical,Unigram,51
medical school,Bigram,51
money better,Bigram,51
money like,Bigram,51
number payment,Bigram,51
overall credit,Bigram,51
overdue,Unigram,51
payment bank,Bigram,51
payment lender,Bigram,51
payment right,Bigram,51
payoff consolidate,Bigram,51
privacy,Unigram,51
professionally,Unigram,51
purchase inventory,Bigram,51
question regard,Bigram,51
quickly add,Bigram,51
rate exist,Bigram,51
rate shorter,Bigram,51
renovate kitchen,Bigram,51
retail store,Bigram,51
save wed,Bigram,51
school add,Bigram,51
score stable,Bigram,51
strain,Unigram,51
thank trust,Bigram,51
time excellent,Bigram,51
time responsible,Bigram,51
time steady,Bigram,51
try eliminate,Bigram,51
typical,Unigram,51
use replace,Bigram,51
use start,Bigram,51
vehicle purchase,Bigram,51
way add,Bigram,51
wonder,Unigram,51
work just,Bigram,51
year solid,Bigram,51
abroad,Unigram,50
add come,Bigram,50
add majority,Bigram,50
allow payoff,Bigram,50
annual fee,Bigram,50
attack,Unigram,50
attic,Unigram,50
badly,Unigram,50
bal,Unigram,50
bmw,Unigram,50
budget make,Bigram,50
car finance,Bigram,50
card anymore,Bigram,50
card continue,Bigram,50
card doctor,Bigram,50
card life,Bigram,50
card possible,Bigram,50
close add,Bigram,50
close higher,Bigram,50
consolidate improve,Bigram,50
consolidate quickly,Bigram,50
cosolidation,Unigram,50
cover unexpected,Bigram,50
crack,Unigram,50
current budget,Bigram,50
current employment,Bigram,50
dear investor,Bigram,50
deliver,Unigram,50
dental expense,Bigram,50
desperate,Unigram,50
documentation,Unigram,50
early year,Bigram,50
expences,Unigram,50
expense just,Bigram,50
final payment,Bigram,50
financially secure,Bigram,50
floor home,Bigram,50
future plan,Bigram,50
good monthly,Bigram,50
graphic,Unigram,50
home improvment,Bigram,50
home work,Bigram,50
inground pool,Bigram,50
kitchen appliance,Bigram,50
know help,Bigram,50
late make,Bigram,50
little leave,Bigram,50
live space,Bigram,50
make higher,Bigram,50
monday,Unigram,50
nest,Unigram,50
net monthly,Bigram,50
new fence,Bigram,50
old house,Bigram,50
old son,Bigram,50
payment affordable,Bigram,50
payment apr,Bigram,50
payment enable,Bigram,50
payment focus,Bigram,50
payment insurance,Bigram,50
payment smaller,Bigram,50
payment worry,Bigram,50
payoff balance,Bigram,50
personal consolidation,Bigram,50
personal monthly,Bigram,50
plan higher,Bigram,50
plan sell,Bigram,50
private party,Bigram,50
problem credit,Bigram,50
problem just,Bigram,50
quickly lower,Bigram,50
quickly thank,Bigram,50
race,Unigram,50
rate stable,Bigram,50
remainder credit,Bigram,50
renovation home,Bigram,50
request add,Bigram,50
salary increase,Bigram,50
sincerely appreciate,Bigram,50
span,Unigram,50
stable good,Bigram,50
term credit,Bigram,50
time usually,Bigram,50
try improve,Bigram,50
vehicle add,Bigram,50
wire,Unigram,50
work week,Bigram,50
year fix,Bigram,50
year promote,Bigram,50
year rate,Bigram,50
