Term,Type,Document_Frequency
dept,Unigram,551
work year,Bigram,551
decrease,Unigram,550
price,Unigram,549
various,Unigram,549
add current,Bigram,548
schedule,Unigram,546
candidate,Unigram,543
happen,Unigram,543
lower apr,Bigram,541
eliminate credit,Bigram,538
add good,Bigram,537
government,Unigram,532
car repair,Bigram,531
individual,Unigram,531
rate add,Bigram,531
learn,Unigram,529
renovation,Unigram,528
time payment,Bigram,528
american,Unigram,527
stop,Unigram,527
purchase new,Bigram,526
unfortunately,Unigram,526
manner,Unigram,525
greatly appreciate,Bigram,522
plan credit,Bigram,521
proceed,Unigram,521
year time,Bigram,520
bank america,Bigram,519
acquire,Unigram,518
strong,Unigram,518
realize,Unigram,515
thank investor,Bigram,515
card debit,Bigram,514
prior,Unigram,514
retire,Unigram,513
year credit,Bigram,512
avoid,Unigram,511
good job,Bigram,509
just try,Bigram,509
add stable,Bigram,508
wait,Unigram,508
high apr,Bigram,507
card save,Bigram,506
current employer,Bigram,506
net,Unigram,506
extra money,Bigram,504
successful,Unigram,503
month add,Bigram,502
great credit,Bigram,501
add car,Bigram,500
month credit,Bigram,500
nice,Unigram,500
rat credit,Bigram,499
unsecured,Unigram,499
break,Unigram,498
fund credit,Bigram,498
foot,Unigram,497
add apply,Bigram,496
rental,Unigram,496
try credit,Bigram,496
enjoy,Unigram,495
worry,Unigram,494
basement,Unigram,492
consolidate make,Bigram,492
card currently,Bigram,491
add add,Bigram,490
catch,Unigram,490
make easier,Bigram,490
thank invest,Bigram,490
ability,Unigram,489
stress,Unigram,488
payoff high,Bigram,487
year work,Bigram,486
fall,Unigram,483
payment just,Bigram,483
rate card,Bigram,483
application,Unigram,482
contract,Unigram,482
appliance,Unigram,481
long term,Bigram,481
portion,Unigram,480
didn,Unigram,478
management,Unigram,477
customer,Unigram,476
send,Unigram,476
nearly,Unigram,475
payment help,Bigram,474
federal,Unigram,473
entire,Unigram,472
approx,Unigram,471
quite,Unigram,470
card home,Bigram,469
irs,Unigram,469
near,Unigram,468
add medical,Bigram,467
minor,Unigram,467
monthly income,Bigram,466
firm,Unigram,464
transfer,Unigram,464
manager,Unigram,463
able make,Bigram,460
high card,Bigram,459
purpose consolidate,Bigram,459
private,Unigram,458
ratio,Unigram,457
start new,Bigram,457
fast,Unigram,456
payment plan,Bigram,455
add tell,Bigram,454
university,Unigram,453
deposit,Unigram,452
condition,Unigram,451
payment allow,Bigram,451
soon possible,Bigram,451
cause,Unigram,450
necessary,Unigram,450
local,Unigram,449
free ask,Bigram,448
need new,Bigram,448
review,Unigram,448
hand,Unigram,447
tell story,Bigram,447
card payoff,Bigram,446
final,Unigram,446
zero,Unigram,446
time month,Bigram,444
city,Unigram,443
new roof,Bigram,443
plan consolidate,Bigram,443
prefer,Unigram,442
wed expense,Bigram,442
year make,Bigram,442
internet,Unigram,441
payment save,Bigram,441
add goal,Bigram,440
case,Unigram,440
bonus,Unigram,439
lump,Unigram,439
want high,Bigram,439
hour,Unigram,438
couple credit,Bigram,437
profit,Unigram,437
progress,Unigram,436
short term,Bigram,436
great job,Bigram,435
larger,Unigram,433
level,Unigram,433
range,Unigram,433
secure job,Bigram,432
year year,Bigram,431
air,Unigram,430
attempt,Unigram,430
just look,Bigram,430
small business,Bigram,430
worth,Unigram,430
payment payment,Bigram,429
sum,Unigram,429
installment,Unigram,428
light,Unigram,427
fact,Unigram,426
idea,Unigram,426
mind,Unigram,426
outstanding credit,Bigram,426
card good,Bigram,425
look credit,Bigram,423
financial situation,Bigram,421
double,Unigram,420
ring,Unigram,420
help add,Bigram,419
law,Unigram,418
unit,Unigram,417
benefit,Unigram,413
card apr,Bigram,413
site,Unigram,413
use purchase,Bigram,413
ask question,Bigram,412
express,Unigram,411
affordable,Unigram,410
annual,Unigram,409
card reduce,Bigram,408
job work,Bigram,408
significantly,Unigram,408
