Term,Type,Document_Frequency
pay add,Bigram,65
pay early,Bigram,65
add plan,Bigram,64
deal,Unigram,64
free year,Bigram,64
fund consolidate,Bigram,64
health,Unigram,64
promotion,Unigram,64
result,Unigram,64
debt year,Bigram,63
kitchen,Unigram,63
steady job,Bigram,63
verify,Unigram,63
area,Unigram,62
available,Unigram,62
debt lower,Bigram,62
live expense,Bigram,62
nurse,Unigram,62
payment history,Bigram,62
real,Unigram,62
secure job,Bigram,62
teacher,Unigram,62
water,Unigram,62
work company,Bigram,62
allow pay,Bigram,61
assistance,Unigram,61
cell phone,Bigram,61
contact,Unigram,61
law,Unigram,61
mother,Unigram,61
application,Unigram,60
different,Unigram,60
divorce,Unigram,60
higher rate,Bigram,60
purchase home,Bigram,60
turn,Unigram,60
worth,Unigram,60
assist,Unigram,59
bank america,Bigram,59
debt payment,Bigram,59
happen,Unigram,59
job secure,Bigram,59
month credit,Bigram,59
office,Unigram,59
promote,Unigram,59
quicker,Unigram,59
car pay,Bigram,58
nearly,Unigram,58
pay higher,Bigram,58
private,Unigram,58
schedule,Unigram,58
union,Unigram,58
card use,Bigram,57
hospital,Unigram,57
option,Unigram,57
prior,Unigram,57
apartment,Unigram,56
candidate,Unigram,56
card high,Bigram,56
card rat,Bigram,56
delinquency,Unigram,56
fall,Unigram,56
father,Unigram,56
friend,Unigram,56
greatly appreciate,Bigram,56
kid,Unigram,56
local,Unigram,56
payment year,Bigram,56
rate pay,Bigram,56
tuition,Unigram,56
american,Unigram,55
bad,Unigram,55
employer year,Bigram,55
hand,Unigram,55
individual,Unigram,55
learn,Unigram,55
simply,Unigram,55
teach,Unigram,55
upgrade,Unigram,55
lendingclub,Unigram,54
surgery,Unigram,54
vacation,Unigram,54
year plan,Bigram,54
avoid,Unigram,53
case,Unigram,53
electric,Unigram,53
focus,Unigram,53
hire,Unigram,53
hopefully,Unigram,53
july,Unigram,53
maintain,Unigram,53
management,Unigram,53
owner,Unigram,53
ratio,Unigram,53
remodel,Unigram,53
retire,Unigram,53
unfortunately,Unigram,53
wish,Unigram,53
accrue,Unigram,52
baby,Unigram,52
company work,Bigram,52
double,Unigram,52
federal,Unigram,52
help add,Bigram,52
june,Unigram,52
obtain,Unigram,52
pay car,Bigram,52
pay faster,Bigram,52
regard,Unigram,52
revolve credit,Bigram,52
ring,Unigram,52
travel,Unigram,52
assure,Unigram,51
creditor,Unigram,51
great credit,Bigram,51
home year,Bigram,51
near,Unigram,51
pay rent,Bigram,51
read,Unigram,51
work hard,Bigram,51
work job,Bigram,51
year year,Bigram,51
benefit,Unigram,50
customer,Unigram,50
lay,Unigram,50
look pay,Bigram,50
manner,Unigram,50
potential,Unigram,50
realize,Unigram,50
truck,Unigram,50
visa,Unigram,50
year job,Bigram,50
add credit,Bigram,49
capital,Unigram,49
current employer,Bigram,49
establish,Unigram,49
goal pay,Bigram,49
mention,Unigram,49
month add,Bigram,49
pay job,Bigram,49
payment lower,Bigram,49
responsibility,Unigram,49
revolve debt,Bigram,49
try consolidate,Bigram,49
buy house,Bigram,48
chance,Unigram,48
deposit,Unigram,48
description,Unigram,48
fix rate,Bigram,48
flow,Unigram,48
furniture,Unigram,48
job work,Bigram,48
paycheck,Unigram,48
add use,Bigram,47
approx,Unigram,47
carry,Unigram,47
cash flow,Bigram,47
class,Unigram,47
currently work,Bigram,47
despite,Unigram,47
employ year,Bigram,47
excite,Unigram,47
financial situation,Bigram,47
good pay,Bigram,47
lower monthly,Bigram,47
strong,Unigram,47
update,Unigram,47
year credit,Bigram,47
country,Unigram,46
delinquent,Unigram,46
entire,Unigram,46
job pay,Bigram,46
line credit,Bigram,46
today,Unigram,46
understand,Unigram,46
year company,Bigram,46
add work,Bigram,45
attend,Unigram,45
bathroom,Unigram,45
break,Unigram,45
cancel,Unigram,45
city,Unigram,45
contribute,Unigram,45
control,Unigram,45
credit line,Bigram,45
multiple,Unigram,45
number,Unigram,45
pay late,Bigram,45
perfect,Unigram,45
reach,Unigram,45
step,Unigram,45
successful,Unigram,45
assistant,Unigram,44
clean,Unigram,44
consolidate payment,Bigram,44
difficult,Unigram,44
guarantee,Unigram,44
help fund,Bigram,44
income month,Bigram,44
month ago,Bigram,44
portion,Unigram,44
price,Unigram,44
stability,Unigram,44
stop,Unigram,44
store,Unigram,44
balance pay,Bigram,43
card lower,Bigram,43
choose,Unigram,43
extra money,Bigram,43
grocery,Unigram,43
payment monthly,Bigram,43
post,Unigram,43
problem pay,Bigram,43
self,Unigram,43
senior,Unigram,43
site,Unigram,43
better rate,Bigram,42
citi,Unigram,42
create,Unigram,42
engagement,Unigram,42
enjoy,Unigram,42
figure,Unigram,42
good candidate,Bigram,42
level,Unigram,42
profit,Unigram,42
ready,Unigram,42
roughly,Unigram,42
safe,Unigram,42
soon possible,Bigram,42
train,Unigram,42
add help,Bigram,41
age,Unigram,41
comfortable,Unigram,41
commit,Unigram,41
course,Unigram,41
decent,Unigram,41
enable,Unigram,41
necessary,Unigram,41
overall,Unigram,41
pay quickly,Bigram,41
payment plan,Bigram,41
question feel,Bigram,41
range,Unigram,41
remainder,Unigram,41
rent utility,Bigram,41
saving account,Bigram,41
stable work,Bigram,41
type,Unigram,41
unemployed,Unigram,41
add monthly,Bigram,40
amex,Unigram,40
appreciate help,Bigram,40
card credit,Bigram,40
card monthly,Bigram,40
close account,Bigram,40
contractor,Unigram,40
debt monthly,Bigram,40
floor,Unigram,40
idea,Unigram,40
item,Unigram,40
new job,Bigram,40
october,Unigram,40
payoff credit,Bigram,40
pretty,Unigram,40
pride,Unigram,40
really appreciate,Bigram,40
roof,Unigram,40
accept,Unigram,39
anticipate,Unigram,39
card currently,Bigram,39
condition,Unigram,39
credit pay,Bigram,39
debt accumulate,Bigram,39
earlier,Unigram,39
job security,Bigram,39
pay cash,Bigram,39
share,Unigram,39
software,Unigram,39
tell,Unigram,39
timely manner,Bigram,39
wed expense,Bigram,39
worry,Unigram,39
acquire,Unigram,38
add fund,Bigram,38
amp,Unigram,38
asap,Unigram,38
bank account,Bigram,38
bankruptcy,Unigram,38
concern,Unigram,38
decision,Unigram,38
director,Unigram,38
hard work,Bigram,38
haven,Unigram,38
higher credit,Bigram,38
home pay,Bigram,38
largest,Unigram,38
new home,Bigram,38
prepare,Unigram,38
public,Unigram,38
quite,Unigram,38
reasonable,Unigram,38
relate,Unigram,38
window,Unigram,38
ability,Unigram,37
add good,Bigram,37
add job,Bigram,37
card account,Bigram,37
card rate,Bigram,37
cause,Unigram,37
ensure,Unigram,37
good job,Bigram,37
home equity,Bigram,37
main,Unigram,37
non,Unigram,37
pay money,Bigram,37
prefer,Unigram,37
short term,Bigram,37
transfer,Unigram,37
usually,Unigram,37
world,Unigram,37
agency,Unigram,36
april,Unigram,36
asset,Unigram,36
associate,Unigram,36
august,Unigram,36
buy home,Bigram,36
current debt,Bigram,36
debt income,Bigram,36
economic,Unigram,36
effort,Unigram,36
engagement ring,Bigram,36
estate,Unigram,36
event,Unigram,36
fast,Unigram,36
intend pay,Bigram,36
mistake,Unigram,36
mom,Unigram,36
nice,Unigram,36
pay wed,Bigram,36
payment car,Bigram,36
payment late,Bigram,36
submit,Unigram,36
young,Unigram,36
add invest,Bigram,35
aside,Unigram,35
borrow money,Bigram,35
card month,Bigram,35
citibank,Unigram,35
client,Unigram,35
debit,Unigram,35
dont,Unigram,35
final,Unigram,35
great job,Bigram,35
land,Unigram,35
month payment,Bigram,35
net income,Bigram,35
overtime,Unigram,35
pas,Unigram,35
payment card,Bigram,35
smaller,Unigram,35
start new,Bigram,35
status,Unigram,35
unit,Unigram,35
worker,Unigram,35
attempt,Unigram,34
basis,Unigram,34
com,Unigram,34
computer,Unigram,34
dental,Unigram,34
doesn,Unigram,34
drive,Unigram,34
foot,Unigram,34
good stand,Bigram,34
graduate college,Bigram,34
hit,Unigram,34
intrest,Unigram,34
likely,Unigram,34
military,Unigram,34
mind,Unigram,34
primary,Unigram,34
probably,Unigram,34
rate add,Bigram,34
rental,Unigram,34
sorry,Unigram,34
trust,Unigram,34
unable,Unigram,34
card year,Bigram,33
community,Unigram,33
debt debt,Bigram,33
express,Unigram,33
guy,Unigram,33
higher rat,Bigram,33
immediately,Unigram,33
jump,Unigram,33
lead,Unigram,33
lose job,Bigram,33
matter,Unigram,33
present,Unigram,33
product,Unigram,33
purchase new,Bigram,33
rat credit,Bigram,33
september,Unigram,33
sign,Unigram,33
tire,Unigram,33
title,Unigram,33
use car,Bigram,33
wonderful,Unigram,33
zero,Unigram,33
add debt,Bigram,32
add investor,Bigram,32
air,Unigram,32
bedroom,Unigram,32
book,Unigram,32
check account,Bigram,32
credit account,Bigram,32
debt faster,Bigram,32
difference,Unigram,32
email,Unigram,32
entertainment,Unigram,32
goal debt,Bigram,32
handle,Unigram,32
hesitate,Unigram,32
house year,Bigram,32
info,Unigram,32
misc,Unigram,32
pay close,Bigram,32
pay payment,Bigram,32
pick,Unigram,32
proceed,Unigram,32
promise,Unigram,32
recession,Unigram,32
spouse,Unigram,32
stable company,Bigram,32
add consolidate,Bigram,31
appliance,Unigram,31
confident,Unigram,31
credit good,Bigram,31
current credit,Bigram,31
debt incur,Bigram,31
dept,Unigram,31
doctor,Unigram,31
expand,Unigram,31
extremely stable,Bigram,31
family member,Bigram,31
fresh,Unigram,31
majority,Unigram,31
march,Unigram,31
medical expense,Bigram,31
month month,Bigram,31
officer,Unigram,31
pay current,Bigram,31
pay sooner,Bigram,31
payment debt,Bigram,31
purpose pay,Bigram,31
qualify,Unigram,31
real estate,Bigram,31
source,Unigram,31
steady income,Bigram,31
total monthly,Bigram,31
use help,Bigram,31
use purchase,Bigram,31
year current,Bigram,31
year currently,Bigram,31
year stable,Bigram,31
yearly,Unigram,31
account pay,Bigram,30
add current,Bigram,30
advantage,Unigram,30
bachelor,Unigram,30
california,Unigram,30
card consolidation,Bigram,30
card help,Bigram,30
condo,Unigram,30
debt help,Bigram,30
drop,Unigram,30
happy answer,Bigram,30
help consolidate,Bigram,30
income pay,Bigram,30
installment,Unigram,30
intention,Unigram,30
job good,Bigram,30
larger,Unigram,30
late miss,Bigram,30
lower rat,Bigram,30
money help,Bigram,30
online,Unigram,30
pay lower,Bigram,30
payment help,Bigram,30
pocket,Unigram,30
prove,Unigram,30
research,Unigram,30
retail,Unigram,30
sense,Unigram,30
technology,Unigram,30
trouble,Unigram,30
wife work,Bigram,30
year good,Bigram,30
year month,Bigram,30
add note,Bigram,29
affect,Unigram,29
automatically,Unigram,29
cable internet,Bigram,29
card total,Bigram,29
credit union,Bigram,29
debt consolidate,Bigram,29
especially,Unigram,29
file,Unigram,29
fully fund,Bigram,29
girlfriend,Unigram,29
huge,Unigram,29
improve credit,Bigram,29
isn,Unigram,29
kind,Unigram,29
later,Unigram,29
lease,Unigram,29
master degree,Bigram,29
mortgage payment,Bigram,29
outside,Unigram,29
pay mortgage,Bigram,29
payment allow,Bigram,29
reflect,Unigram,29
significant,Unigram,29
stable income,Bigram,29
start save,Bigram,29
supply,Unigram,29
trip,Unigram,29
utilize,Unigram,29
various,Unigram,29
achieve,Unigram,28
add currently,Bigram,28
alot,Unigram,28
approximately month,Bigram,28
consolidate pay,Bigram,28
consolidation add,Bigram,28
decrease,Unigram,28
definitely,Unigram,28
employ company,Bigram,28
equipment,Unigram,28
expense credit,Bigram,28
force,Unigram,28
form,Unigram,28
freedom,Unigram,28
general,Unigram,28
graduate school,Bigram,28
growth,Unigram,28
income ratio,Bigram,28
income tax,Bigram,28
manageable,Unigram,28
month rent,Bigram,28
null,Unigram,28
practice,Unigram,28
profile,Unigram,28
question add,Bigram,28
remove,Unigram,28
response,Unigram,28
rid credit,Bigram,28
single payment,Bigram,28
stable employment,Bigram,28
sum,Unigram,28
year monthly,Bigram,28
american express,Bigram,27
attorney,Unigram,27
balance credit,Bigram,27
card close,Bigram,27
couple year,Bigram,27
credit debt,Bigram,27
dent,Unigram,27
exceed,Unigram,27
expensive,Unigram,27
fargo,Unigram,27
fico,Unigram,27
forget,Unigram,27
high debt,Bigram,27
honest,Unigram,27
income year,Bigram,27
invest far,Bigram,27
january,Unigram,27
long term,Bigram,27
loss,Unigram,27
lump,Unigram,27
mile,Unigram,27
min,Unigram,27
money month,Bigram,27
normal,Unigram,27
organization,Unigram,27
pay exist,Bigram,27
pay soon,Bigram,27
payment work,Bigram,27
previously,Unigram,27
relocate,Unigram,27
special,Unigram,27
stick,Unigram,27
study,Unigram,27
website,Unigram,27
year half,Bigram,27
add additional,Bigram,26
add look,Bigram,26
agree,Unigram,26
automatic,Unigram,26
bless,Unigram,26
bring home,Bigram,26
business year,Bigram,26
card consolidate,Bigram,26
close credit,Bigram,26
clothe,Unigram,26
consistent,Unigram,26
consult,Unigram,26
current monthly,Bigram,26
current position,Bigram,26
direct,Unigram,26
directly,Unigram,26
discover card,Bigram,26
eliminate debt,Bigram,26
energy,Unigram,26
eventually,Unigram,26
february,Unigram,26
gift,Unigram,26
grad,Unigram,26
head,Unigram,26
home add,Bigram,26
institution,Unigram,26
involve,Unigram,26
lower payment,Bigram,26
mba,Unigram,26
nearly year,Bigram,26
new york,Bigram,26
notice,Unigram,26
partner,Unigram,26
pay good,Bigram,26
peer,Unigram,26
plan consolidate,Bigram,26
principal,Unigram,26
purpose consolidate,Bigram,26
remain balance,Bigram,26
significantly,Unigram,26
team,Unigram,26
transportation,Unigram,26
truly,Unigram,26
use payoff,Bigram,26
weekend,Unigram,26
york,Unigram,26
additionally,Unigram,25
analyst,Unigram,25
background,Unigram,25
development,Unigram,25
disability,Unigram,25
end month,Bigram,25
end year,Bigram,25
enter,Unigram,25
gross income,Bigram,25
home repair,Bigram,25
income monthly,Bigram,25
lifestyle,Unigram,25
little bite,Bigram,25
location,Unigram,25
mid,Unigram,25
near future,Bigram,25
originally,Unigram,25
paint,Unigram,25
pay lend,Bigram,25
pay student,Bigram,25
phone internet,Bigram,25
plenty,Unigram,25
pre,Unigram,25
priority,Unigram,25
rate card,Bigram,25
regular,Unigram,25
rent car,Bigram,25
responsible person,Bigram,25
restaurant,Unigram,25
semester,Unigram,25
sister,Unigram,25
staff,Unigram,25
stress,Unigram,25
test,Unigram,25
use card,Bigram,25
write,Unigram,25
year late,Bigram,25
basically,Unigram,24
boat,Unigram,24
budget pay,Bigram,24
center,Unigram,24
commercial,Unigram,24
county,Unigram,24
dedicate,Unigram,24
depend,Unigram,24
eliminate credit,Bigram,24
extend,Unigram,24
fit,Unigram,24
grant,Unigram,24
hesitate ask,Bigram,24
home month,Bigram,24
insurance car,Bigram,24
load,Unigram,24
mortgage car,Bigram,24
network,Unigram,24
order pay,Bigram,24
pay medical,Bigram,24
pay remain,Bigram,24
pay work,Bigram,24
quality,Unigram,24
raise rat,Bigram,24
relocation,Unigram,24
serve,Unigram,24
stock,Unigram,24
struggle,Unigram,24
true,Unigram,24
verification,Unigram,24
word,Unigram,24
year use,Bigram,24
additional income,Bigram,23
appreciate add,Bigram,23
card car,Bigram,23
catch,Unigram,23
consolidation pay,Bigram,23
construction,Unigram,23
continue pay,Bigram,23
debt accrue,Bigram,23
debt currently,Bigram,23
december,Unigram,23
deduct,Unigram,23
dependable,Unigram,23
district,Unigram,23
ease,Unigram,23
efficient,Unigram,23
expense rent,Bigram,23
girl,Unigram,23
high school,Bigram,23
highest,Unigram,23
impact,Unigram,23
irs,Unigram,23
layoff,Unigram,23
minimum monthly,Bigram,23
moment,Unigram,23
older,Unigram,23
outstanding debt,Bigram,23
pay owe,Bigram,23
pay quicker,Bigram,23
pay tax,Bigram,23
payment current,Bigram,23
payment currently,Bigram,23
payment life,Bigram,23
payment payment,Bigram,23
percent,Unigram,23
question ask,Bigram,23
rat pay,Bigram,23
renovation,Unigram,23
rid debt,Bigram,23
save month,Bigram,23
self employ,Bigram,23
split,Unigram,23
stable position,Bigram,23
tax return,Bigram,23
thousand,Unigram,23
unsecured,Unigram,23
work pay,Bigram,23
year help,Bigram,23
add really,Bigram,22
annual income,Bigram,22
basement,Unigram,22
card higher,Bigram,22
choice,Unigram,22
contribution,Unigram,22
currently employ,Bigram,22
daily,Unigram,22
debt good,Bigram,22
expense include,Bigram,22
fund purchase,Bigram,22
gain,Unigram,22
group,Unigram,22
healthcare,Unigram,22
household income,Bigram,22
industry year,Bigram,22
ira,Unigram,22
job extremely,Bigram,22
know question,Bigram,22
landscape,Unigram,22
light,Unigram,22
low risk,Bigram,22
lump sum,Bigram,22
maintenance,Unigram,22
marry year,Bigram,22
money consolidate,Bigram,22
money save,Bigram,22
month car,Bigram,22
month debt,Bigram,22
monthly net,Bigram,22
night,Unigram,22
past month,Bigram,22
pay revolve,Bigram,22
payment job,Bigram,22
payment rate,Bigram,22
plan purchase,Bigram,22
positive,Unigram,22
purchase house,Bigram,22
quick,Unigram,22
reduce debt,Bigram,22
rent month,Bigram,22
