zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop,poverty_decile,income_decile
154,0.04093714048400095,0.008905412794013126,0.18596065175593585,37983.07186841061,144730.75,8.0,1.0
155,0.0219697695973676,0.01249377484027385,0.12650521638312445,42738.195501974,88979.5,4.0,3.0
156,0.0131300261716845,0.008757704094292926,0.0893306586404855,53013.32492116011,311693.25,2.0,7.0
157,0.021736140525201723,0.010456576038584825,0.16161173295710238,42994.58336611499,111231.0,7.0,3.0
158,0.004092024575875625,0.0119318566578902,0.1241837943027443,43519.49172884416,89125.75,4.0,3.0
159,0.02926521230778525,0.013182316130417924,0.13538724517283196,43037.444233387585,145008.0,5.0,3.0
160,0.01123757066997085,0.01087363447039095,0.08799473509970537,60547.69824130666,194119.25,2.0,8.0
161,0.04533518457100238,0.010664003537184899,0.13010972673122032,44152.43301443401,222278.25,4.0,3.0
162,0.024999861318083523,0.01017659062757585,0.145241140994899,43743.82879450983,87971.25,5.0,3.0
163,0.011638454784789426,0.009763726249036925,0.1483338620712635,41998.14859811838,149584.0,6.0,3.0
164,0.0179714065793056,0.0146892682748972,0.12009193156053502,49100.68216004705,129644.25,3.0,5.0
165,0.09087198298097385,0.043299398340688654,0.17803436536690218,45032.54518894215,187082.5,8.0,4.0
166,0.030325360537981474,0.012380708119587325,0.12823438514487284,43449.952513002885,208286.0,4.0,3.0
167,0.021266806756238876,0.01724293902549695,0.1502619535252797,41692.419057897816,48420.25,6.0,2.0
168,0.026057489854605202,0.0251750673586986,0.1668887303849287,47508.94507734664,196859.0,7.0,5.0
169,0.0074483364308501,0.011098016699443125,0.143596672716423,43930.087337738136,65499.0,5.0,3.0
170,0.0212958931109466,0.042694366307659604,0.08915521494667455,57681.64624715452,616062.75,2.0,8.0
171,0.2598919269816912,0.09382860231843243,0.14729303895997378,54123.82427552599,165523.5,6.0,7.0
172,0.028696116046055674,0.0363176136494566,0.11277698023911785,51493.42281487431,205295.75,3.0,6.0
173,0.016110542982392326,0.035357553882648524,0.07585078309847676,61139.35795280142,336577.75,1.0,9.0
174,0.09956712280676695,0.10438820092783276,0.1359073988561637,53323.344939448856,174962.0,5.0,7.0
175,0.014746460918790325,0.038503164401798975,0.0820921679855505,59893.899791232674,325916.25,1.0,8.0
176,0.06984089979725788,0.19780349289973598,0.14057531714928478,50478.93028558515,165115.25,5.0,6.0
177,0.03440392704925073,0.01300945584699815,0.13988972404151429,44250.81382988957,170918.75,5.0,3.0
178,0.0289764979608223,0.028194833659737677,0.12504619945772294,44923.798971865996,238064.25,4.0,4.0
179,0.027941507511854025,0.0272651641643573,0.1153901191173976,45539.347714754724,124344.75,3.0,4.0
180,0.03405448200809302,0.08811094927399829,0.08182808992108757,63341.782911396665,533671.75,1.0,9.0
181,0.074122898220589,0.3217874566940238,0.19297849483270443,47114.41513492594,167163.5,9.0,5.0
182,0.0167373784784427,0.11848497599714818,0.14111879132459612,45074.013882064384,139056.25,5.0,4.0
183,0.0889403360041948,0.11992759393115672,0.1050070635504137,59313.03603322123,177431.75,2.0,8.0
184,0.04015667034187938,0.04534173933176537,0.10538599731816653,52463.34133421276,200109.5,2.0,7.0
185,0.03807628023173103,0.07357023289612491,0.1633826210413698,40965.279537693496,118176.0,7.0,2.0
186,0.017829673507875374,0.025701246679365176,0.12587940497678263,46689.37197194433,176722.5,4.0,5.0
187,0.05311483648915748,0.05007015694509118,0.15731550456604426,45693.82885945742,134595.75,6.0,4.0
188,0.0048735982635079,0.014324517873374526,0.1242993718455855,47202.811293196195,78191.25,4.0,5.0
189,0.012922581000806399,0.034003778657389,0.0461029319716109,87939.69957520236,365401.75,1.0,10.0
190,0.13806669266653934,0.03840445453218825,0.0774965712846148,74962.5626796702,1122010.25,1.0,10.0
191,0.42161831194141186,0.1250101032147924,0.2551511928752494,39424.3805966985,1531158.25,10.0,2.0
193,0.06611994316693875,0.07086536352547129,0.06774352300978695,88077.39455128268,434610.0,1.0,10.0
194,0.0789306797590986,0.04687092919983363,0.06211878329614125,78920.51449684516,513739.75,1.0,10.0
195,0.0194225933088605,0.03764982498192233,0.06242699371302282,66427.7539870123,218740.5,1.0,9.0
196,0.059307957178800975,0.2868037273224059,0.19682451339289986,49874.025464932965,211877.5,9.0,6.0
197,0.22511755532409067,0.07940684740299567,0.0933711954767368,70992.19904122187,320367.0,2.0,9.0
198,0.24238670323538394,0.10064681851832286,0.12445301845788109,64330.514957505286,215850.5,4.0,9.0
199,0.17619827237905478,0.07432364422546582,0.12296899879224207,54512.46479557533,367905.75,4.0,7.0
200,0.49980780314543016,0.0944437304007845,0.17379742735801068,71925.37881219911,612410.5,8.0,10.0
201,0.08257605062792008,0.14935993835622768,0.050502294718973925,113324.33728531844,856176.25,1.0,10.0
202,,,,,0.0,,
203,0.25305838602243247,0.05896488186768856,0.0763391579532295,21629.5,794.75,1.0,1.0
204,,,,,0.0,,
205,,,,,0.0,,
206,0.29573724643207694,0.04068903127682965,0.061491685755433574,92610.95104719486,340124.75,1.0,10.0
207,0.5761805112530798,0.13953147974025942,0.0830312356307286,78082.53277328913,970359.25,1.0,10.0
208,0.11742724110783584,0.14340738234870198,0.05265520497989187,114174.79686439349,678348.5,1.0,10.0
209,0.2863397130579838,0.24264679014845184,0.09540111633218964,75803.66586807987,313380.25,2.0,10.0
210,0.13440977274273733,0.0500166844147575,0.06152410803875352,89975.09378274065,727447.0,1.0,10.0
211,0.19051325410287148,0.040257718600091974,0.0575446128007663,89703.72915941496,461638.75,1.0,10.0
212,0.4519420635463546,0.04265883183486545,0.16244667156457143,51779.83407593531,1198693.0,7.0,6.0
214,0.1363534335504998,0.10723937102642984,0.05852608544686465,89048.97355785841,93434.25,1.0,10.0
215,0.05750753219906625,0.01299512795629925,0.1423261564024845,40982.6047520184,103893.5,5.0,2.0
216,0.14502357027564589,0.04361275756666488,0.10783311278453997,63620.17254634463,169911.5,3.0,9.0
217,0.0774113041187703,0.0526037495588002,0.07201454395779477,78787.38168309342,474108.0,1.0,10.0
218,0.2337676385232851,0.04012595886711948,0.14338752043911515,51902.34386893708,178409.5,5.0,7.0
219,0.06302617189235404,0.035114935783823374,0.09855146116731885,65780.49402848877,101265.75,2.0,9.0
220,0.0925251804770377,0.16014038683336035,0.0602147989616804,108952.0006506218,483984.75,1.0,10.0
221,0.1453256806174471,0.17449900593033765,0.053573831110345846,112816.74353144568,446882.75,1.0,10.0
222,0.0827486841137188,0.15163341865273267,0.07674054646754837,107710.00952441212,212226.75,1.0,10.0
223,0.19075281827753987,0.18405764957277107,0.07626711360208613,92085.90509602876,322525.75,1.0,10.0
224,0.19003523268805111,0.07445271154687977,0.08375817193042087,71517.47468505931,216934.5,1.0,9.0
225,0.19924115465530207,0.06912967089083723,0.0762600718429277,78210.39153322228,186931.25,1.0,10.0
226,0.05010480305417405,0.06922284074900335,0.09804926111962958,61566.669826329955,184338.5,2.0,9.0
227,0.13034595130157386,0.0741167404829898,0.0893224567418711,64478.07403628319,78108.25,2.0,9.0
228,0.0286929510007125,0.0845275422873919,0.16254515272479214,46992.607478420585,164047.25,7.0,5.0
229,0.11892402038462442,0.04444297424925625,0.12673235656448784,58389.414460464126,253181.0,4.0,8.0
230,0.19106631283890327,0.027491431621834726,0.07940596096206252,67720.60260896734,221136.5,1.0,9.0
231,0.12990512019619968,0.0317974371609769,0.06099454965543955,78078.02424397561,365721.75,1.0,10.0
232,0.37857581073660157,0.07121253989397845,0.1633732507605408,52365.81848907888,540699.75,7.0,7.0
233,0.2855058820522912,0.05083708776649118,0.0894382371677758,68068.66493844717,255373.75,2.0,9.0
234,0.23107552920955587,0.05995333032140597,0.08800408306755933,65405.50842261052,572750.5,2.0,9.0
235,0.4191368587241702,0.06773423277511015,0.17028698358085298,44707.4148988094,243458.5,7.0,4.0
236,0.37826937346167483,0.059961588138272646,0.12548090546184798,56771.14250122414,384270.75,4.0,8.0
237,0.5220423425935841,0.032092594895215,0.16950685501992618,46208.43242808391,95940.0,7.0,4.0
238,0.3836067699377351,0.0416003107925845,0.12075888288290723,54394.76569844053,337923.75,3.0,7.0
239,0.3600924852221291,0.023180205022007325,0.18336373712657988,36897.51435519296,107180.0,8.0,1.0
240,0.12099012962177244,0.03577775589728997,0.16360470574946664,47032.18083246088,355802.0,7.0,5.0
241,0.10377853707817009,0.02326482448215645,0.14265882595026305,45605.83173080396,229625.0,5.0,4.0
