Feature,n_folds_selected,mean_rank_when_selected,mean_importance_share,mean_chi2_score,Model,pct_folds_selected
txt:sacred,2,188.5,0.0019,1.71,Logistic,14.3
txt:consolidation aim,2,190.0,0.0015,4.52,Logistic,14.3
txt:nephew,2,192.0,0.0018,3.3,Logistic,14.3
txt:combustion,2,192.5,0.0014,10.91,Logistic,14.3
txt:maine,2,193.5,0.0015,3.31,Logistic,14.3
txt:pay wedding,2,194.0,0.002,0.88,Logistic,14.3
txt:cashcall,2,195.5,0.0014,4.73,Logistic,14.3
txt:par,2,195.5,0.0018,2.37,Logistic,14.3
txt:behavioral,2,199.0,0.0017,2.29,Logistic,14.3
txt:machining,2,199.0,0.0014,3.52,Logistic,14.3
txt:payment high,2,199.0,0.0018,1.52,Logistic,14.3
txt:bank pay,2,201.0,0.0017,2.36,Logistic,14.3
txt:gemini,2,201.5,0.0014,3.11,Logistic,14.3
txt:manageable monthly,2,202.5,0.0016,2.85,Logistic,14.3
txt:new heating,2,203.0,0.0018,1.44,Logistic,14.3
txt:roll,2,203.0,0.002,1.79,Logistic,14.3
txt:help help,2,203.5,0.0019,1.54,Logistic,14.3
txt:fiscal,2,204.5,0.0019,1.23,Logistic,14.3
txt:convenience,2,205.5,0.0019,1.3,Logistic,14.3
txt:parish school,2,209.0,0.0018,2.19,Logistic,14.3
txt:adjustment,2,210.0,0.0018,2.97,Logistic,14.3
txt:consolidation army,2,210.0,0.0016,2.69,Logistic,14.3
txt:hour,2,210.0,0.002,1.31,Logistic,14.3
txt:legion,2,210.0,0.0014,7.12,Logistic,14.3
txt:paybills,2,211.5,0.0014,4.9,Logistic,14.3
txt:card faster,2,212.0,0.0018,1.38,Logistic,14.3
txt:credid,2,212.0,0.0014,3.46,Logistic,14.3
txt:terminix,2,216.0,0.0013,6.13,Logistic,14.3
txt:help friend,2,219.0,0.0018,1.99,Logistic,14.3
txt:mission,2,219.5,0.0018,2.43,Logistic,14.3
txt:physician,2,219.5,0.0019,0.85,Logistic,14.3
txt:wildwood,2,220.0,0.0013,7.13,Logistic,14.3
txt:utilize,2,220.5,0.0018,1.01,Logistic,14.3
txt:consolidation irs,2,224.5,0.0013,4.08,Logistic,14.3
txt:stillwater,2,225.0,0.0013,4.62,Logistic,14.3
txt:consolidation cracker,2,225.5,0.0013,9.05,Logistic,14.3
txt:card moving,2,226.0,0.0016,2.59,Logistic,14.3
txt:payment day,2,226.0,0.0018,1.12,Logistic,14.3
txt:payment significantly,2,228.0,0.0015,2.9,Logistic,14.3
txt:coordinator,2,228.5,0.0018,1.41,Logistic,14.3
txt:irvine,2,230.0,0.0017,1.87,Logistic,14.3
txt:new look,2,230.0,0.0016,2.1,Logistic,14.3
txt:glass,2,230.5,0.0019,1.8,Logistic,14.3
txt:car refinance,2,231.0,0.0017,1.5,Logistic,14.3
txt:putting new,2,231.0,0.0015,3.13,Logistic,14.3
txt:month instead,2,231.5,0.0018,1.64,Logistic,14.3
txt:dtcc,2,232.0,0.0013,5.81,Logistic,14.3
txt:terrace,2,232.5,0.0015,2.65,Logistic,14.3
txt:use buy,2,232.5,0.0018,1.64,Logistic,14.3
txt:consolidation class,2,233.5,0.0013,10.47,Logistic,14.3
txt:destroy,2,233.5,0.0014,3.52,Logistic,14.3
txt:major debt,2,236.0,0.0018,1.27,Logistic,14.3
txt:payment month,2,236.5,0.0012,3.17,Logistic,14.3
txt:acre,2,237.0,0.0017,1.43,Logistic,14.3
txt:consolidation sra,2,238.5,0.0014,3.93,Logistic,14.3
txt:palm,2,241.0,0.0016,2.62,Logistic,14.3
txt:consolidation pratt,2,243.5,0.0014,4.76,Logistic,14.3
txt:sensor,2,243.5,0.0014,3.34,Logistic,14.3
txt:pain,2,246.0,0.0019,1.48,Logistic,14.3
txt:guitar,2,247.0,0.0015,2.49,Logistic,14.3
txt:development company,2,248.0,0.0017,1.4,Logistic,14.3
txt:consolidation savannah,2,251.0,0.0012,6.63,Logistic,14.3
txt:lsi,2,251.0,0.0013,4.85,Logistic,14.3
txt:job worked,2,251.5,0.0016,1.12,Logistic,14.3
txt:low overhead,2,252.0,0.0017,2.06,Logistic,14.3
txt:purchase dodge,2,252.0,0.0015,2.95,Logistic,14.3
txt:foundry,2,252.5,0.0016,2.82,Logistic,14.3
txt:dear lender,2,253.5,0.0017,2.33,Logistic,14.3
txt:buffalo,2,255.0,0.0015,2.16,Logistic,14.3
txt:lubricant,2,255.5,0.0011,4.75,Logistic,14.3
txt:year payoff,2,255.5,0.0016,1.58,Logistic,14.3
txt:height,2,256.5,0.0017,1.38,Logistic,14.3
txt:survive,2,257.5,0.0015,1.51,Logistic,14.3
txt:consolidation eye,2,258.0,0.0011,4.44,Logistic,14.3
txt:pastry,2,258.5,0.0013,4.21,Logistic,14.3
txt:truckload,2,261.0,0.0011,6.75,Logistic,14.3
txt:mercy hospital,2,261.5,0.0014,2.85,Logistic,14.3
txt:catholic,2,262.0,0.0016,1.62,Logistic,14.3
txt:union bank,2,262.5,0.0014,2.31,Logistic,14.3
txt:pay creditcards,2,263.5,0.0011,4.89,Logistic,14.3
txt:establishing,2,264.5,0.0016,2.17,Logistic,14.3
txt:consolidation child,2,265.5,0.0015,4.24,Logistic,14.3
txt:hello help,2,266.5,0.0016,1.23,Logistic,14.3
txt:bidding,2,267.5,0.0016,1.03,Logistic,14.3
txt:home buy,2,267.5,0.0015,3.32,Logistic,14.3
txt:consolidation ferguson,2,268.0,0.0011,4.67,Logistic,14.3
txt:solver,2,268.5,0.0011,6.76,Logistic,14.3
txt:workforce,2,269.0,0.0015,2.22,Logistic,14.3
txt:card food,2,270.0,0.0014,3.3,Logistic,14.3
txt:consolidation special,2,270.0,0.0012,5.5,Logistic,14.3
txt:audio,2,271.0,0.0014,2.14,Logistic,14.3
txt:work really,2,271.0,0.0015,1.76,Logistic,14.3
txt:rehabilitation hospital,2,271.5,0.0012,4.49,Logistic,14.3
txt:consolidation omni,2,272.0,0.0012,4.84,Logistic,14.3
txt:trident,2,272.5,0.0013,4.81,Logistic,14.3
txt:card peace,2,273.5,0.0012,3.5,Logistic,14.3
txt:resort spa,2,273.5,0.0013,2.38,Logistic,14.3
txt:electric supply,2,274.5,0.0014,2.38,Logistic,14.3
txt:consolidation vanguard,2,275.0,0.0011,3.96,Logistic,14.3
txt:debt worked,2,276.5,0.0015,1.15,Logistic,14.3
txt:pine,2,277.0,0.0014,2.4,Logistic,14.3
txt:mohegan,2,277.5,0.0014,4.21,Logistic,14.3
txt:having monthly,2,278.0,0.0012,3.27,Logistic,14.3
txt:majestic,2,279.5,0.001,4.23,Logistic,14.3
txt:scana,2,280.0,0.0011,5.14,Logistic,14.3
txt:repair improvement,2,280.5,0.0013,2.25,Logistic,14.3
txt:crane service,2,282.5,0.001,5.62,Logistic,14.3
txt:help payment,2,284.5,0.0014,1.83,Logistic,14.3
txt:shepherd,2,285.0,0.0011,4.48,Logistic,14.3
txt:duck,2,286.0,0.0013,2.1,Logistic,14.3
txt:year know,2,286.5,0.0014,1.36,Logistic,14.3
txt:strategic,2,288.0,0.0015,1.15,Logistic,14.3
txt:cracker barrel,2,290.0,0.0011,3.23,Logistic,14.3
txt:forward working,2,290.0,0.0014,2.5,Logistic,14.3
txt:laurel,2,290.5,0.0012,4.83,Logistic,14.3
txt:manageable debt,2,291.5,0.0013,2.43,Logistic,14.3
txt:microchip,2,291.5,0.001,4.37,Logistic,14.3
txt:stopped,2,291.5,0.0015,1.29,Logistic,14.3
txt:way home,2,291.5,0.0014,3.02,Logistic,14.3
txt:viewing,2,292.5,0.0014,2.41,Logistic,14.3
txt:help funding,2,295.0,0.0015,1.48,Logistic,14.3
txt:international corporation,2,296.0,0.0012,4.26,Logistic,14.3
txt:card plan,2,297.0,0.0015,0.88,Logistic,14.3
txt:murray,2,297.5,0.0012,2.84,Logistic,14.3
txt:ambulance service,2,298.0,0.0013,2.8,Logistic,14.3
txt:start fresh,2,299.0,0.0014,1.24,Logistic,14.3
txt:main financial,2,299.5,0.0013,3.32,Logistic,14.3
txt:appliance new,2,301.0,0.0012,3.17,Logistic,14.3
txt:employer pay,2,301.5,0.0014,1.6,Logistic,14.3
txt:double payment,2,302.0,0.0014,1.94,Logistic,14.3
txt:freedon,2,302.0,0.001,5.7,Logistic,14.3
txt:alpha,2,302.5,0.0013,2.87,Logistic,14.3
txt:mohegan sun,2,302.5,0.0013,3.97,Logistic,14.3
txt:pay history,2,304.0,0.0013,2.43,Logistic,14.3
txt:pay verizon,2,304.0,0.0011,3.72,Logistic,14.3
txt:repayment history,2,304.0,0.0014,1.2,Logistic,14.3
txt:baseball,2,305.0,0.0013,2.79,Logistic,14.3
txt:consolidation harley,2,305.0,0.001,4.04,Logistic,14.3
txt:payoff macys,2,305.0,0.0011,2.86,Logistic,14.3
txt:good risk,2,305.5,0.0014,1.49,Logistic,14.3
txt:use consolidation,2,306.5,0.0012,3.39,Logistic,14.3
txt:debtrelief,2,307.0,0.0012,2.89,Logistic,14.3
txt:personal help,2,307.0,0.0012,2.88,Logistic,14.3
txt:buisness,2,307.5,0.0012,3.01,Logistic,14.3
txt:search,2,308.5,0.0014,2.26,Logistic,14.3
txt:kenneth,2,309.0,0.001,3.74,Logistic,14.3
txt:alcoa fastening,2,309.5,0.001,7.09,Logistic,14.3
txt:shelter,2,311.0,0.0013,1.6,Logistic,14.3
txt:pink,2,312.5,0.0013,2.27,Logistic,14.3
txt:ray,2,314.5,0.0013,1.86,Logistic,14.3
txt:cobham,2,315.0,0.001,4.1,Logistic,14.3
txt:boro,2,316.5,0.001,4.1,Logistic,14.3
txt:closer work,2,316.5,0.0013,2.15,Logistic,14.3
txt:linden,2,316.5,0.001,4.2,Logistic,14.3
txt:room addition,2,316.5,0.0013,1.85,Logistic,14.3
txt:pay vacation,2,319.0,0.001,4.07,Logistic,14.3
txt:rent center,2,323.5,0.0011,2.64,Logistic,14.3
txt:card allied,2,324.0,0.0012,2.11,Logistic,14.3
txt:debt asap,2,324.5,0.0013,1.42,Logistic,14.3
txt:capitol,2,325.5,0.0014,1.79,Logistic,14.3
txt:late account,2,325.5,0.0013,2.53,Logistic,14.3
txt:payment default,2,325.5,0.0013,1.62,Logistic,14.3
txt:thankful help,2,326.0,0.0012,2.63,Logistic,14.3
txt:ymca,2,326.5,0.0013,1.63,Logistic,14.3
txt:new place,2,327.0,0.0013,1.63,Logistic,14.3
txt:help lower,2,328.0,0.0013,1.53,Logistic,14.3
txt:herald,2,328.0,0.001,2.79,Logistic,14.3
txt:responsive,2,329.0,0.0009,5.08,Logistic,14.3
txt:consolidation grace,2,331.0,0.001,3.97,Logistic,14.3
txt:year employed,2,331.0,0.0013,1.65,Logistic,14.3
txt:freight line,2,331.5,0.0012,3.04,Logistic,14.3
txt:consolidation sport,2,332.0,0.0012,2.54,Logistic,14.3
txt:henry,2,332.0,0.0013,1.24,Logistic,14.3
txt:payment medical,2,332.5,0.0013,1.71,Logistic,14.3
txt:burch,2,333.5,0.001,6.93,Logistic,14.3
txt:ford lincoln,2,334.0,0.0009,4.3,Logistic,14.3
txt:shaw group,2,334.5,0.0012,2.17,Logistic,14.3
txt:health center,2,335.0,0.0012,1.45,Logistic,14.3
txt:perform,2,335.5,0.0013,1.36,Logistic,14.3
txt:buffet,2,336.0,0.001,3.84,Logistic,14.3
txt:callaway golf,2,337.0,0.0009,8.17,Logistic,14.3
txt:increase credit,2,337.5,0.0013,1.08,Logistic,14.3
txt:datapipe,2,340.0,0.0009,3.98,Logistic,14.3
txt:fulfillment,2,340.0,0.001,4.38,Logistic,14.3
txt:ranging,2,340.0,0.0012,1.34,Logistic,14.3
txt:single mother,2,340.5,0.0013,1.13,Logistic,14.3
txt:usmc,2,341.0,0.0012,2.11,Logistic,14.3
txt:red,2,341.5,0.0012,1.21,Logistic,14.3
txt:extron electronics,2,343.0,0.0009,5.47,Logistic,14.3
txt:programmer,2,345.0,0.0013,1.21,Logistic,14.3
txt:relocation expense,2,345.0,0.0013,1.59,Logistic,14.3
txt:early year,2,345.5,0.0012,1.27,Logistic,14.3
txt:skill,2,346.5,0.0012,1.15,Logistic,14.3
txt:richemont,2,347.5,0.0009,4.11,Logistic,14.3
txt:consolidation rent,2,348.0,0.001,3.79,Logistic,14.3
txt:plan personal,2,350.0,0.0011,2.59,Logistic,14.3
txt:score goal,2,350.0,0.0011,2.77,Logistic,14.3
txt:consolidation infosys,2,351.5,0.001,4.1,Logistic,14.3
txt:renting home,2,351.5,0.001,4.59,Logistic,14.3
txt:home fix,2,352.5,0.0012,1.36,Logistic,14.3
txt:mta nyct,2,353.5,0.0009,6.67,Logistic,14.3
txt:help catch,2,354.5,0.001,3.07,Logistic,14.3
txt:rug,2,354.5,0.0009,4.3,Logistic,14.3
txt:california state,2,355.0,0.0011,1.73,Logistic,14.3
txt:marino,2,355.0,0.0009,5.02,Logistic,14.3
txt:eliminated,2,356.0,0.0012,1.36,Logistic,14.3
txt:debt add,2,356.5,0.0012,1.23,Logistic,14.3
txt:personal fargo,2,356.5,0.001,2.86,Logistic,14.3
txt:city fort,2,357.5,0.001,2.91,Logistic,14.3
txt:pay capital,2,357.5,0.0011,2.69,Logistic,14.3
txt:tire service,2,357.5,0.0009,4.5,Logistic,14.3
txt:investment home,2,358.0,0.0011,1.93,Logistic,14.3
txt:climb,2,358.5,0.0012,2.03,Logistic,14.3
txt:home good,2,358.5,0.0011,1.9,Logistic,14.3
txt:overwhelmed,2,358.5,0.0011,1.92,Logistic,14.3
txt:physic,2,359.0,0.0011,2.33,Logistic,14.3
txt:trip,2,359.5,0.0012,0.97,Logistic,14.3
txt:money long,2,360.0,0.0011,1.4,Logistic,14.3
txt:bad credit,2,361.0,0.0012,1.59,Logistic,14.3
txt:live debt,2,361.0,0.001,3.05,Logistic,14.3
txt:pay sears,2,361.5,0.001,3.84,Logistic,14.3
txt:visa balance,2,361.5,0.0011,1.72,Logistic,14.3
txt:giving chance,2,362.0,0.0011,1.72,Logistic,14.3
txt:oppurtunity,2,363.0,0.0011,2.17,Logistic,14.3
txt:union job,2,364.5,0.0011,1.95,Logistic,14.3
txt:kraft,2,369.0,0.0011,2.21,Logistic,14.3
txt:year major,2,369.0,0.0011,1.72,Logistic,14.3
txt:bubba,2,371.0,0.0009,3.87,Logistic,14.3
txt:sate,2,371.0,0.0008,6.32,Logistic,14.3
txt:home sale,2,371.5,0.0011,1.29,Logistic,14.3
txt:monthly utility,2,371.5,0.0011,1.97,Logistic,14.3
txt:discover amex,2,372.5,0.001,3.25,Logistic,14.3
txt:farr,2,373.5,0.0008,4.17,Logistic,14.3
txt:good samaritan,2,373.5,0.0011,2.8,Logistic,14.3
txt:samaritan,2,373.5,0.0011,2.8,Logistic,14.3
txt:help given,2,376.0,0.001,2.36,Logistic,14.3
txt:personal use,2,376.0,0.0011,1.36,Logistic,14.3
txt:garbage,2,376.5,0.001,4.3,Logistic,14.3
txt:simi,2,376.5,0.0009,3.76,Logistic,14.3
txt:mgt,2,377.0,0.0009,3.48,Logistic,14.3
txt:payment feel,2,377.0,0.0011,1.37,Logistic,14.3
txt:arena,2,378.0,0.0011,2.53,Logistic,14.3
txt:business future,2,378.0,0.0009,6.65,Logistic,14.3
txt:consolidation paid,2,378.0,0.0011,1.76,Logistic,14.3
txt:omni,2,378.0,0.0011,2.7,Logistic,14.3
txt:expense school,2,378.5,0.0011,1.41,Logistic,14.3
txt:improvement freedom,2,379.5,0.0008,5.07,Logistic,14.3
txt:consolidation temp,2,380.0,0.0008,4.36,Logistic,14.3
txt:join,2,380.0,0.0011,1.34,Logistic,14.3
txt:current income,2,381.0,0.0011,1.28,Logistic,14.3
txt:debt begin,2,382.0,0.0011,1.21,Logistic,14.3
txt:spotlight,2,382.5,0.0008,4.68,Logistic,14.3
txt:fastest,2,383.0,0.0011,2.0,Logistic,14.3
txt:occur,2,385.5,0.0011,1.13,Logistic,14.3
txt:help fresh,2,386.5,0.001,3.13,Logistic,14.3
txt:necessary medical,2,387.0,0.0008,4.82,Logistic,14.3
txt:rate fair,2,387.5,0.001,2.74,Logistic,14.3
txt:fly,2,388.0,0.001,2.12,Logistic,14.3
txt:biils,2,389.5,0.0008,4.32,Logistic,14.3
txt:car getting,2,390.5,0.0011,2.07,Logistic,14.3
txt:finally debt,2,390.5,0.001,2.06,Logistic,14.3
txt:interst,2,390.5,0.0011,1.34,Logistic,14.3
txt:help appreciated,2,391.0,0.0011,1.24,Logistic,14.3
txt:solving,2,391.0,0.0009,3.14,Logistic,14.3
txt:covenant aviation,2,392.0,0.0008,6.58,Logistic,14.3
txt:debt consolidator,2,392.5,0.0011,3.37,Logistic,14.3
txt:way debt,2,393.0,0.001,1.32,Logistic,14.3
txt:belong,2,393.5,0.0011,1.14,Logistic,14.3
txt:consolidation cbre,2,394.0,0.0009,3.8,Logistic,14.3
txt:using lower,2,395.0,0.001,1.64,Logistic,14.3
txt:help needed,2,396.0,0.001,3.65,Logistic,14.3
txt:benihana,2,397.5,0.0008,3.81,Logistic,14.3
txt:payoff verizon,2,397.5,0.0008,4.76,Logistic,14.3
txt:payment creditor,2,399.0,0.001,1.05,Logistic,14.3
txt:shared service,2,399.0,0.0009,2.59,Logistic,14.3
txt:cent store,2,399.5,0.0008,7.31,Logistic,14.3
txt:currently going,2,401.0,0.001,2.51,Logistic,14.3
txt:mastercard visa,2,402.0,0.001,3.09,Logistic,14.3
txt:transportion,2,402.0,0.0009,3.08,Logistic,14.3
txt:debt sprint,2,403.0,0.0008,5.02,Logistic,14.3
txt:help allowing,2,403.5,0.001,2.72,Logistic,14.3
txt:opportunity financial,2,403.5,0.0009,3.14,Logistic,14.3
txt:pizzeria,2,403.5,0.0008,5.15,Logistic,14.3
txt:consolidation heart,2,404.0,0.0008,5.58,Logistic,14.3
txt:gca service,2,404.5,0.0008,8.13,Logistic,14.3
txt:lotus,2,405.0,0.0008,3.61,Logistic,14.3
txt:chesapeake,2,405.5,0.0009,2.77,Logistic,14.3
txt:debt grateful,2,406.0,0.0009,3.38,Logistic,14.3
txt:unwanted,2,406.0,0.0009,2.94,Logistic,14.3
txt:bus line,2,406.5,0.0008,6.7,Logistic,14.3
txt:card little,2,407.0,0.001,1.83,Logistic,14.3
txt:freedom walmart,2,408.0,0.0008,4.2,Logistic,14.3
txt:month compared,2,409.0,0.001,2.64,Logistic,14.3
txt:career year,2,409.5,0.001,1.0,Logistic,14.3
txt:extension,2,410.0,0.001,1.08,Logistic,14.3
txt:consolidation generation,2,410.5,0.0008,5.31,Logistic,14.3
txt:costco,2,411.0,0.001,1.88,Logistic,14.3
txt:past mistake,2,411.0,0.001,2.17,Logistic,14.3
txt:high payment,2,411.5,0.0009,1.2,Logistic,14.3
txt:obligation current,2,413.0,0.001,3.33,Logistic,14.3
txt:pay number,2,414.5,0.0008,3.37,Logistic,14.3
txt:machine llc,2,415.0,0.0008,3.92,Logistic,14.3
txt:palm beach,2,416.0,0.001,1.65,Logistic,14.3
txt:fiancee getting,2,416.5,0.0009,2.95,Logistic,14.3
txt:month help,2,416.5,0.001,1.08,Logistic,14.3
txt:linen,2,417.0,0.0008,2.97,Logistic,14.3
txt:lodge,2,417.5,0.0009,2.56,Logistic,14.3
txt:help sister,2,418.0,0.0009,1.5,Logistic,14.3
txt:refinancing washington,2,418.5,0.0008,3.83,Logistic,14.3
txt:paid ontime,2,419.5,0.0009,1.79,Logistic,14.3
txt:attend,2,421.0,0.0009,1.15,Logistic,14.3
txt:situation debt,2,421.5,0.0009,2.87,Logistic,14.3
txt:multiple high,2,422.5,0.0009,2.69,Logistic,14.3
txt:ran credit,2,422.5,0.0009,1.37,Logistic,14.3
txt:better future,2,423.5,0.0009,1.89,Logistic,14.3
txt:life good,2,423.5,0.0009,1.66,Logistic,14.3
txt:branch manager,2,424.5,0.0009,1.23,Logistic,14.3
txt:enrollment,2,425.0,0.0009,2.61,Logistic,14.3
txt:cape cod,2,425.5,0.0009,1.82,Logistic,14.3
txt:payment filed,2,425.5,0.0009,1.76,Logistic,14.3
txt:planning payoff,2,426.5,0.0009,2.52,Logistic,14.3
txt:consolidation laurel,2,427.0,0.0007,5.73,Logistic,14.3
txt:look going,2,427.5,0.0009,1.86,Logistic,14.3
txt:relocate,2,428.0,0.0009,1.98,Logistic,14.3
txt:price range,2,429.0,0.0009,2.35,Logistic,14.3
txt:year emergency,2,429.0,0.0009,2.58,Logistic,14.3
txt:month taking,2,430.5,0.0008,2.9,Logistic,14.3
txt:consolidation summer,2,433.5,0.0007,4.87,Logistic,14.3
txt:instead monthly,2,433.5,0.0007,4.66,Logistic,14.3
txt:upstairs,2,434.0,0.0009,1.28,Logistic,14.3
txt:crux,2,434.5,0.0007,3.92,Logistic,14.3
txt:consolidation hallmark,2,435.0,0.0007,3.18,Logistic,14.3
txt:account close,2,435.5,0.0008,1.5,Logistic,14.3
txt:grade home,2,435.5,0.0007,4.14,Logistic,14.3
txt:sch,2,435.5,0.0008,4.33,Logistic,14.3
txt:company long,2,437.5,0.0009,1.52,Logistic,14.3
txt:ranger,2,437.5,0.0009,1.72,Logistic,14.3
txt:jackie,2,438.0,0.0007,5.04,Logistic,14.3
txt:category,2,439.0,0.0009,1.63,Logistic,14.3
txt:consist,2,440.5,0.0008,0.94,Logistic,14.3
txt:card concentrate,2,442.0,0.0009,2.33,Logistic,14.3
txt:improvment home,2,442.0,0.0007,3.92,Logistic,14.3
txt:chico,2,443.5,0.0007,3.61,Logistic,14.3
txt:consolidat debt,2,443.5,0.0007,5.62,Logistic,14.3
txt:creditor credit,2,443.5,0.0008,2.22,Logistic,14.3
txt:consolidation southwestern,2,444.0,0.0007,3.92,Logistic,14.3
txt:net worth,2,444.0,0.0009,1.35,Logistic,14.3
txt:consolidation peter,2,444.5,0.0008,3.06,Logistic,14.3
txt:really year,2,444.5,0.0009,1.51,Logistic,14.3
txt:work health,2,445.5,0.0009,2.29,Logistic,14.3
txt:hospital home,2,446.0,0.0007,3.52,Logistic,14.3
txt:manage credit,2,446.0,0.0008,2.72,Logistic,14.3
txt:paying consolidate,2,446.5,0.0009,2.21,Logistic,14.3
txt:personal international,2,446.5,0.0007,3.77,Logistic,14.3
txt:married june,2,447.0,0.0009,1.63,Logistic,14.3
txt:consolidation moog,2,447.5,0.0007,6.81,Logistic,14.3
txt:dunn,2,447.5,0.0008,3.25,Logistic,14.3
txt:free army,2,448.5,0.0008,2.39,Logistic,14.3
txt:boy girl,2,449.0,0.0008,1.97,Logistic,14.3
txt:goal oriented,2,449.0,0.0008,1.72,Logistic,14.3
txt:philippine,2,449.0,0.0009,1.52,Logistic,14.3
txt:debt health,2,450.0,0.0007,5.14,Logistic,14.3
txt:expense monthly,2,450.0,0.0008,0.98,Logistic,14.3
txt:manpower,2,450.0,0.0008,3.43,Logistic,14.3
txt:nco financial,2,450.0,0.0007,4.51,Logistic,14.3
txt:college help,2,452.5,0.0008,1.03,Logistic,14.3
txt:requesting funding,2,454.5,0.0008,2.16,Logistic,14.3
txt:fulton county,2,455.5,0.0008,2.59,Logistic,14.3
txt:purchase university,2,455.5,0.0008,2.62,Logistic,14.3
txt:debt plus,2,456.0,0.0008,2.42,Logistic,14.3
txt:improve debt,2,456.0,0.0008,2.73,Logistic,14.3
txt:interst rate,2,456.0,0.0008,1.36,Logistic,14.3
txt:ive job,2,456.5,0.0008,2.2,Logistic,14.3
txt:rest debt,2,457.0,0.0009,2.18,Logistic,14.3
txt:duane reade,2,458.5,0.0007,3.97,Logistic,14.3
txt:card look,2,459.0,0.0008,2.2,Logistic,14.3
txt:family budget,2,459.5,0.0008,1.95,Logistic,14.3
txt:reade,2,459.5,0.0007,3.97,Logistic,14.3
txt:consolidation start,2,460.0,0.0008,3.52,Logistic,14.3
txt:year feb,2,461.0,0.0008,2.52,Logistic,14.3
txt:left job,2,462.5,0.0008,1.12,Logistic,14.3
txt:greek,2,463.5,0.0007,4.05,Logistic,14.3
txt:home making,2,463.5,0.0007,3.88,Logistic,14.3
txt:load consolidate,2,464.0,0.0008,3.6,Logistic,14.3
txt:life medical,2,464.5,0.0007,3.19,Logistic,14.3
txt:interested consolidating,2,467.5,0.0008,2.0,Logistic,14.3
txt:incorporated,2,468.0,0.0007,1.05,Logistic,14.3
txt:debt consider,2,469.0,0.0008,2.41,Logistic,14.3
txt:utilizing money,2,469.0,0.0007,3.27,Logistic,14.3
txt:appreciate investing,2,470.0,0.0008,2.14,Logistic,14.3
txt:higher balance,2,470.5,0.0007,2.97,Logistic,14.3
txt:stay hotel,2,472.0,0.0007,5.36,Logistic,14.3
txt:able breath,2,472.5,0.0007,3.99,Logistic,14.3
txt:pristine,2,472.5,0.0006,4.4,Logistic,14.3
txt:carrying debt,2,473.0,0.0007,2.09,Logistic,14.3
txt:save paid,2,474.0,0.0008,2.09,Logistic,14.3
txt:business line,2,476.5,0.0007,2.81,Logistic,14.3
txt:request funded,2,477.0,0.0007,1.35,Logistic,14.3
txt:sum debt,2,477.0,0.0006,4.99,Logistic,14.3
txt:able continue,2,479.5,0.0008,2.4,Logistic,14.3
txt:capital visa,2,480.0,0.0008,1.84,Logistic,14.3
txt:assistance advance,2,480.5,0.0006,5.33,Logistic,14.3
txt:job got,2,481.5,0.0008,1.71,Logistic,14.3
txt:consolidation citizen,2,482.5,0.0007,2.12,Logistic,14.3
txt:investor know,2,482.5,0.0007,1.25,Logistic,14.3
txt:family business,2,483.0,0.0007,1.33,Logistic,14.3
txt:reason able,2,484.5,0.0008,1.98,Logistic,14.3
txt:sorta,2,485.0,0.0006,4.02,Logistic,14.3
txt:norwalk,2,485.5,0.0007,2.11,Logistic,14.3
txt:buy year,2,486.5,0.0007,2.97,Logistic,14.3
txt:host,2,487.0,0.0007,1.08,Logistic,14.3
txt:repair personal,2,489.0,0.0007,2.93,Logistic,14.3
txt:utilites,2,489.0,0.0007,2.45,Logistic,14.3
txt:freeway,2,489.5,0.0006,5.3,Logistic,14.3
txt:kitchen improvement,2,489.5,0.0007,1.07,Logistic,14.3
txt:panther,2,489.5,0.0007,2.7,Logistic,14.3
txt:looking combine,2,490.5,0.0007,2.14,Logistic,14.3
txt:looking fix,2,490.5,0.0006,3.73,Logistic,14.3
txt:free financial,2,491.0,0.0007,1.92,Logistic,14.3
txt:preservation,2,491.0,0.0007,3.1,Logistic,14.3
txt:able help,2,493.5,0.0006,1.26,Logistic,14.3
txt:house payment,2,493.5,0.0007,1.12,Logistic,14.3
txt:presented,2,494.0,0.0007,2.06,Logistic,14.3
txt:report payment,2,495.0,0.0006,4.01,Logistic,14.3
txt:giorgio,2,495.5,0.0006,4.25,Logistic,14.3
txt:sponsor,2,496.0,0.0006,3.87,Logistic,14.3
txt:latin america,2,497.5,0.0007,4.97,Logistic,14.3
txt:room consolidation,2,498.5,0.0006,3.24,Logistic,14.3
txt:untill,2,498.5,0.0006,2.24,Logistic,14.3
txt:consolidation porter,2,501.0,0.0006,4.38,Logistic,14.3
txt:late house,2,501.5,0.0007,1.73,Logistic,14.3
txt:looking paying,2,502.0,0.0006,2.71,Logistic,14.3
txt:mailer,2,502.0,0.0006,4.83,Logistic,14.3
txt:ala,2,503.5,0.0006,4.29,Logistic,14.3
txt:newell,2,504.0,0.0006,2.38,Logistic,14.3
txt:amy,2,504.5,0.0006,1.31,Logistic,14.3
txt:csa,2,505.0,0.0006,4.66,Logistic,14.3
txt:needed debt,2,506.0,0.0007,2.36,Logistic,14.3
txt:cash thing,2,507.5,0.0006,2.18,Logistic,14.3
txt:redondo,2,507.5,0.0006,3.95,Logistic,14.3
txt:dedication,2,509.0,0.0005,1.03,Logistic,14.3
txt:ccc,2,511.0,0.0005,2.37,Logistic,14.3
txt:consolidation certified,2,512.0,0.0006,3.11,Logistic,14.3
