fold,Arm,Model,Feature,Kind,Importance_raw,Importance_share,Rank,Chi2_Score
5,Structured+TFIDF_chi2,XGBoost,txt:office year,tfidf,0.0,0.0,231,2.142
5,Structured+TFIDF_chi2,XGBoost,txt:oil change,tfidf,0.0,0.0,232,2.326
5,Structured+TFIDF_chi2,XGBoost,txt:olive,tfidf,0.0,0.0,468,2.752
5,Structured+TFIDF_chi2,XGBoost,txt:oppurtunity,tfidf,0.0,0.0,596,2.132
5,Structured+TFIDF_chi2,XGBoost,txt:outback,tfidf,0.0,0.0,597,1.659
5,Structured+TFIDF_chi2,XGBoost,txt:outback steakhouse,tfidf,0.0,0.0,598,1.767
5,Structured+TFIDF_chi2,XGBoost,txt:overwhelmed,tfidf,0.0,0.0,263,2.13
5,Structured+TFIDF_chi2,XGBoost,txt:paid consolidate,tfidf,0.0,0.0,233,2.109
5,Structured+TFIDF_chi2,XGBoost,txt:paid consolidation,tfidf,26.825163,0.005014,56,4.074
5,Structured+TFIDF_chi2,XGBoost,txt:paid high,tfidf,0.0,0.0,234,2.266
5,Structured+TFIDF_chi2,XGBoost,txt:paid ontime,tfidf,0.0,0.0,235,1.801
5,Structured+TFIDF_chi2,XGBoost,txt:paid rest,tfidf,0.0,0.0,236,2.872
5,Structured+TFIDF_chi2,XGBoost,txt:palm,tfidf,0.0,0.0,237,2.055
5,Structured+TFIDF_chi2,XGBoost,txt:palm beach,tfidf,0.0,0.0,238,1.883
5,Structured+TFIDF_chi2,XGBoost,txt:par,tfidf,0.0,0.0,239,2.761
5,Structured+TFIDF_chi2,XGBoost,txt:paralegal,tfidf,21.763365,0.004068,120,2.325
5,Structured+TFIDF_chi2,XGBoost,txt:parish school,tfidf,0.0,0.0,240,1.838
5,Structured+TFIDF_chi2,XGBoost,txt:past mistake,tfidf,0.0,0.0,241,2.495
5,Structured+TFIDF_chi2,XGBoost,txt:patrick,tfidf,0.0,0.0,242,3.618
5,Structured+TFIDF_chi2,XGBoost,txt:pay ahead,tfidf,0.0,0.0,243,1.762
5,Structured+TFIDF_chi2,XGBoost,txt:pay capital,tfidf,0.0,0.0,244,2.773
5,Structured+TFIDF_chi2,XGBoost,txt:pay faster,tfidf,32.075974,0.005995,22,1.512
5,Structured+TFIDF_chi2,XGBoost,txt:pay getting,tfidf,0.0,0.0,279,3.666
5,Structured+TFIDF_chi2,XGBoost,txt:pay hospital,tfidf,0.0,0.0,280,2.648
5,Structured+TFIDF_chi2,XGBoost,txt:paychex,tfidf,19.320024,0.003611,170,6.583
5,Structured+TFIDF_chi2,XGBoost,txt:payday,tfidf,0.0,0.0,281,1.62
5,Structured+TFIDF_chi2,XGBoost,txt:paying consolidate,tfidf,0.0,0.0,282,1.538
5,Structured+TFIDF_chi2,XGBoost,txt:paying rent,tfidf,0.0,0.0,283,2.591
5,Structured+TFIDF_chi2,XGBoost,txt:paying right,tfidf,0.0,0.0,284,1.952
5,Structured+TFIDF_chi2,XGBoost,txt:payment affordable,tfidf,0.0,0.0,285,1.844
5,Structured+TFIDF_chi2,XGBoost,txt:payment business,tfidf,0.0,0.0,286,1.906
5,Structured+TFIDF_chi2,XGBoost,txt:payment cost,tfidf,0.0,0.0,287,1.804
5,Structured+TFIDF_chi2,XGBoost,txt:payment debt,tfidf,28.421057,0.005312,42,1.744
5,Structured+TFIDF_chi2,XGBoost,txt:payment early,tfidf,0.0,0.0,288,1.633
5,Structured+TFIDF_chi2,XGBoost,txt:payment filed,tfidf,0.0,0.0,289,1.544
5,Structured+TFIDF_chi2,XGBoost,txt:payment high,tfidf,0.0,0.0,290,1.68
5,Structured+TFIDF_chi2,XGBoost,txt:payment rent,tfidf,25.696928,0.004803,68,2.384
5,Structured+TFIDF_chi2,XGBoost,txt:payoff city,tfidf,31.376711,0.005865,29,2.323
5,Structured+TFIDF_chi2,XGBoost,txt:peace,tfidf,24.052582,0.004496,92,3.644
5,Structured+TFIDF_chi2,XGBoost,txt:peace mind,tfidf,0.0,0.0,348,2.085
5,Structured+TFIDF_chi2,XGBoost,txt:period credit,tfidf,19.949154,0.003729,158,1.882
5,Structured+TFIDF_chi2,XGBoost,txt:personal bank,tfidf,0.0,0.0,349,2.716
5,Structured+TFIDF_chi2,XGBoost,txt:personal debt,tfidf,16.018106,0.002994,194,1.661
5,Structured+TFIDF_chi2,XGBoost,txt:personal expense,tfidf,19.380598,0.003622,169,3.837
5,Structured+TFIDF_chi2,XGBoost,txt:personal use,tfidf,0.0,0.0,322,1.612
5,Structured+TFIDF_chi2,XGBoost,txt:piece mind,tfidf,0.0,0.0,323,1.63
5,Structured+TFIDF_chi2,XGBoost,txt:pine,tfidf,0.0,0.0,324,2.622
5,Structured+TFIDF_chi2,XGBoost,txt:pizza,tfidf,0.0,0.0,325,4.733
5,Structured+TFIDF_chi2,XGBoost,txt:plane ticket,tfidf,21.705338,0.004057,123,3.065
5,Structured+TFIDF_chi2,XGBoost,txt:police,tfidf,20.224669,0.00378,149,1.765
5,Structured+TFIDF_chi2,XGBoost,txt:pool,tfidf,32.031387,0.005987,23,4.686
5,Structured+TFIDF_chi2,XGBoost,txt:post office,tfidf,0.0,0.0,326,1.605
5,Structured+TFIDF_chi2,XGBoost,txt:pratt,tfidf,18.577869,0.003472,180,4.917
