fold,arm,config,Model,n_train,n_test,n_defaults,AUC,PR_AUC,Brier,GINI
6,fb768,fixed,Logistic,29671,2190,406,0.6655,0.3077,0.2576,0.3311
6,fb768,fixed,XGBoost,29671,2190,406,0.6744,0.3242,0.228,0.3488
6,fb768,fixed,RandomForest,29671,2190,406,0.6417,0.2712,0.1964,0.2834
6,fb768,grid,Logistic,29671,2190,406,0.6735,0.3137,0.2524,0.347
6,fb768,grid,XGBoost,29671,2190,406,0.6788,0.3216,0.2406,0.3575
6,fb768,grid,RandomForest,29671,2190,406,0.6644,0.2913,0.2144,0.3289
6,pca50,fixed,Logistic,29671,2190,406,0.68,0.3039,0.2583,0.36
6,pca50,fixed,XGBoost,29671,2190,406,0.6796,0.3216,0.2336,0.3592
6,pca50,fixed,RandomForest,29671,2190,406,0.6779,0.3121,0.1934,0.3557
6,pca50,grid,Logistic,29671,2190,406,0.681,0.3053,0.2547,0.3619
6,pca50,grid,XGBoost,29671,2190,406,0.6839,0.3157,0.2414,0.3678
6,pca50,grid,RandomForest,29671,2190,406,0.6753,0.3124,0.2191,0.3507
7,structured,fixed,Logistic,36786,2781,413,0.7009,0.2914,0.2201,0.4018
7,structured,fixed,XGBoost,36786,2781,413,0.7012,0.3001,0.2088,0.4024
7,structured,fixed,RandomForest,36786,2781,413,0.6908,0.2744,0.1842,0.3815
7,structured,grid,Logistic,36786,2781,413,0.7008,0.2915,0.2192,0.4017
7,structured,grid,XGBoost,36786,2781,413,0.7035,0.3014,0.2123,0.407
7,structured,grid,RandomForest,36786,2781,413,0.6908,0.2744,0.1842,0.3815
7,fb768,fixed,Logistic,36786,2781,413,0.6929,0.2739,0.2165,0.3859
7,fb768,fixed,XGBoost,36786,2781,413,0.6952,0.2946,0.1986,0.3904
7,fb768,fixed,RandomForest,36786,2781,413,0.658,0.2631,0.1775,0.3161
7,fb768,grid,Logistic,36786,2781,413,0.6972,0.2767,0.214,0.3945
7,fb768,grid,XGBoost,36786,2781,413,0.6945,0.2882,0.208,0.389
7,fb768,grid,RandomForest,36786,2781,413,0.6734,0.2715,0.1953,0.3468
7,pca50,fixed,Logistic,36786,2781,413,0.7006,0.2908,0.2186,0.4013
7,pca50,fixed,XGBoost,36786,2781,413,0.688,0.2761,0.2011,0.376
7,pca50,fixed,RandomForest,36786,2781,413,0.6872,0.2773,0.1658,0.3743
7,pca50,grid,Logistic,36786,2781,413,0.7004,0.291,0.217,0.4008
7,pca50,grid,XGBoost,36786,2781,413,0.6928,0.2858,0.2082,0.3855
7,pca50,grid,RandomForest,36786,2781,413,0.6872,0.2776,0.1891,0.3745
8,structured,fixed,Logistic,45976,3713,681,0.6855,0.3317,0.2619,0.3709
8,structured,fixed,XGBoost,45976,3713,681,0.6928,0.3288,0.2362,0.3856
8,structured,fixed,RandomForest,45976,3713,681,0.6839,0.3285,0.2116,0.3678
8,structured,grid,Logistic,45976,3713,681,0.6855,0.3317,0.2619,0.3709
8,structured,grid,XGBoost,45976,3713,681,0.6923,0.3377,0.2477,0.3847
8,structured,grid,RandomForest,45976,3713,681,0.6857,0.3256,0.1869,0.3715
8,fb768,fixed,Logistic,45976,3713,681,0.67,0.3059,0.2626,0.34
8,fb768,fixed,XGBoost,45976,3713,681,0.6864,0.3255,0.2317,0.3728
8,fb768,fixed,RandomForest,45976,3713,681,0.6493,0.2682,0.1961,0.2986
8,fb768,grid,Logistic,45976,3713,681,0.6741,0.3123,0.2607,0.3482
8,fb768,grid,XGBoost,45976,3713,681,0.6905,0.3353,0.2422,0.381
