Arm,Model,Candidate,params,tuning_fold,inner_val_AUC,mean_AUC_over_tuning_folds,is_winner
Structured+FinBERT,XGBoost,"strong reg (depth3, lr.03, a1, L10)","{""max_depth"": 3, ""learning_rate"": 0.03, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0}",4,0.7027,0.6963,False
Structured+FinBERT,XGBoost,"strong reg (depth3, lr.03, a1, L10)","{""max_depth"": 3, ""learning_rate"": 0.03, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0}",8,0.6931,0.6963,False
Structured+FinBERT,XGBoost,"strong reg (depth3, lr.03, a1, L10)","{""max_depth"": 3, ""learning_rate"": 0.03, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0}",12,0.6932,0.6963,False
Structured+FinBERT,RandomForest,min_leaf=10,"{""min_samples_leaf"": 10}",4,0.6898,0.6885,False
Structured+FinBERT,RandomForest,min_leaf=10,"{""min_samples_leaf"": 10}",8,0.6832,0.6885,False
Structured+FinBERT,RandomForest,min_leaf=10,"{""min_samples_leaf"": 10}",12,0.6924,0.6885,False
Structured+FinBERT,RandomForest,min_leaf=20 (old baseline),"{""min_samples_leaf"": 20}",4,0.6933,0.6911,False
Structured+FinBERT,RandomForest,min_leaf=20 (old baseline),"{""min_samples_leaf"": 20}",8,0.6869,0.6911,False
Structured+FinBERT,RandomForest,min_leaf=20 (old baseline),"{""min_samples_leaf"": 20}",12,0.6933,0.6911,False
Structured+FinBERT,RandomForest,min_leaf=30,"{""min_samples_leaf"": 30}",4,0.6947,0.6918,False
Structured+FinBERT,RandomForest,min_leaf=30,"{""min_samples_leaf"": 30}",8,0.6868,0.6918,False
Structured+FinBERT,RandomForest,min_leaf=30,"{""min_samples_leaf"": 30}",12,0.694,0.6918,False
Structured+FinBERT,RandomForest,min_leaf=50,"{""min_samples_leaf"": 50}",4,0.6982,0.6934,True
Structured+FinBERT,RandomForest,min_leaf=50,"{""min_samples_leaf"": 50}",8,0.6881,0.6934,True
Structured+FinBERT,RandomForest,min_leaf=50,"{""min_samples_leaf"": 50}",12,0.6939,0.6934,True
